PscuZamSiba		PscuKatete                   
PscuC23	PscuKatete                        
PscuC45	PscuKatete                       
Inlo	InloKalL                           
Mbi_Ctho1_ASmit12	CthoMbi             
Mto_Ctho4_ASmit12	CthoMbi             
GnpfC2_ASmit1Schisto3	GnpfKalL         
Sidi9_Asmit12	SidiKalL                  
Sidi11_ASmit12	SidiKalL                
Gnpf3_1_9	GnpfKalL                     
Sima	SimaUbwari                          
SibaC	SibaMahale                         
SiplC34	SiplKalL                       
SiplC2_ASmit1Schisto3_ASmit1	SiplKalL  
Kal_Siba	SiplKalL                       
LolaC2_ASmit12	LolaChimba                 
Mus_Lola1_ASmit12_ASmit1	LolaChimba       
Mto_Lola1FTA2_ASmit12	LolaChimba          
Mbi_Peep6_ASmit12	PeepIsanga              
Mbi_Peep8_ASmit12_Asmit1	PeepIsanga       
Cro_Pefm6_ASmit12	PefamChimba            
Mus_Pefm5_ASmit12	PepoKatete             
PefmC1_ASmit12	PefamChimba                
Cro_Pefm7_ASmit12	PefamChimba              
PemaC12	Pe_cf_ma                        
PemaC3_ASmit12	Pe_cf_ma                 
PemaC4_ASmit1Schisto3	Pe_cf_ma          
PemaC5_ASmit12	Pe_cf_ma                 
PepoC1_ASMit1Schisto3	PepoKatete         
PepoC4_ASmit12	PepoKatete                 
PemaC6PepoC2	PepoKatete                   
PepoC3_ASmit12	PepoKatete                 
PefsC2_ASmit12	PefasChimba                 
PefsC13	PefasChimba                       
Peor2_ASmit1Schisto3	InloKalL          
Peor3_ASmit1Schisto3	InloKalL          
Peor4_ASmit1Schisto3	InloKalL          
TrbrCox1	TrbrBulombora                      
TrbrB3_ASmit1Schisto3	TrbrBulombora        
TrbrB11_ASmit1Schisto3	TrbrBulombora        
TrbrB57	TrbrBulombora                      
TrbrB13_ASmit12_ASmit2	TrbrBulombora        
Cro_Trmo3_ASmit12	TrmoMbi             
TrduC2_ASmit12	TrduBemba                
Lida11_1_ASmit12	LidaMpu              
Lida11_2_ASmit12	LidaMpu               
Asbu11_12	Asbu              

                              
