Host species,Country,Locality,RMCA (MRAC) accession numbers (host vouchers),Parasite rDNA,Parasite COI
Ctenochromis horei,Tanzania,Mtosi,B2-04-P-117,KT037139-41,KT037337
Ctenochromis horei,Zambia,Kalambo Lodge,"B2-04-P-119-131 (1,4,5,6,7,8,9,10,11)",KT037142-65,
Ctenochromis horei, ,Mbita Island,B2-04-P-118,KT037166-8,KT037338
Gnathochromis pfefferi,D.R. Congo,Mtoto,T10-2024,KT037169,KT037339
Gnathochromis pfefferi,Zambia,Kalambo Lodge,"B2-04-P-149-165 (1,2,3)",KT037170-3,KT037340-1
Interochromis loocki,Zambia,Kalambo Lodge,B3-36-P-1,KT037174-5,KT037342-3
Interochromis loocki, ,Muzumwa,"B1-23-P-339-341 (1,6)",KT037176-81,KT037344-6
Limnotilapia dardennii,D.R. Congo,Bemba,B0-12-P-1205,KT037182-3,
Limnotilapia dardennii,Zambia,Kalambo Lodge,B2-04-P-132-148 (4),KT037184-5,
Limnotilapia dardennii, ,Muzumwa,T11_Lida5,KT037186,KT037347-8
Lobochilotes labiatus,D.R. Congo,Lubumba,B0-12-P-312-315 (2),KT037187-90,KT037349
Lobochilotes labiatus,Tanzania,Mtosi,B2-04-P-184-189 (1),KT037191-2,KT037350
Lobochilotes labiatus, ,Musamba,B2-04-P-190-194 (2),KT037193-4,KT037351
Lobochilotes labiatus,Zambia,Kalambo Lodge,"B2-04-P-166-181 (1,2,3,4,5)",KT037195-230,
Lobochilotes labiatus, ,Mbita Island,B2-04-P-113,KT037231-2,
Petrochromis famula,D.R. Congo,Kikoti,B0-12-P-866,KT037233,KT037352
Petrochromis famula,Zambia,Mutondwe Island,"B2-04-P-195-199 (2,4)",KT037234-8,KT037353-4
Petrochromis fasciolatus,D.R. Congo,Mtoto,B0-12-P-861,KT037239-41,KT037355-7
Petrochromis macrognathus,D.R. Congo,Kapakwe,T10-Pema1,KT037242-4,KT037358-60
Petrochromis macrognathus, ,Luhanga,B0-12-P-1206,,KT037361-3
Petrochromis polyodon,D.R. Congo,Bemba,B0-12-P-1208-1210 (788),,KT037364
Petrochromis polyodon, ,Luhanga,B0-12-P-1207,KT037245,KT037365
Petrochromis polyodon, ,Mugayo North,B0-12-P-1211,KT037246,KT037366-7
Petrochromis polyodon,Tanzania,Musamba,"B2-04-P-200-201 (1,2)",KT037247-51,KT037368
Petrochromis polyodon,Zambia,Mbita Island,B2-04-P-211,KT037252,
Petrochromis trewavasae,D.R. Congo,Kikoti,"B0-12-P-867, B0-12-P-456-457 (1,2)",,KT037369-72
Petrochromis trewavasae,Zambia,Mbita Island,"B2-04-P-203-204 (1,2)",KT037253-6,KT037373-4
Petrochromis trewavasae, ,Mutondwe Island,B2-04-P-202,KT037257-62,
Simochromis babaulti,D.R. Congo,Bemba,B0-12-P-846,KT037263-4,KT037375-7
Simochromis babaulti,D.R. Congo,Kikoti,B0-12-P-426,KT037265,KT037378
Simochromis babaulti, ,Mufazi,"B0-12-P-816-829 (3,8)",,KT037379-80
Simochromis babaulti,Zambia,Kalambo Lodge,"B2-04-P-70-91 (1,10)",KT037266-7,KT037381-2
Pseudosimochromis curvifrons,D.R. Congo,Bemba,B0-12-P-430,KT037268-70,KT037383-4
Pseudosimochromis curvifrons, ,Luhanga,B0-12-P-748,KT037271,
Pseudosimochromis curvifrons, ,Mugayo North,B0-12-P-750,KT037272-3,KT037385-6
Pseudosimochromis curvifrons,Zambia,Kalambo Lodge,"B2-04-P-98-110 (1,4)",KT037274-7,KT037387
Pseudosimochromis curvifrons, ,Kasakalawe/Chanzimu,B2-04-P-97,KT037278,KT037388
Pseudosimochromis curvifrons, ,Wonzye Point,B2-04-P-95,KT037279,KT037389
Simochromis marginatus,D.R. Congo,Bemba,B0-12-P-429,KT037280-1,KT037390-1
Simochromis marginatus, ,Lubumba,B0-12-P-379-380,KT037282-92,
Simochromis diagramma,Zambia,Kalambo Lodge,"B2-04-P-52, B2-04-P-58-64 (1,4,5,6,8)",KT037293-313,KT037392-3
Simochromis diagramma, ,Mbita Island,B2-04-P-114-115 (2),KT037314-5,
Tropheus annectens,D.R. Congo,Kapakwe,B0-12-P-1235,KT037316,
Tropheus annectens, ,Mugayo North,"B0-12-P-1212-1234 (660,673)",KT037317-20,KT037394-6
Tropheus brichardi,Burundi,Nyanza Lac,"B0-12-P-1236-1256 (1336,1339,1341,1345,1346)",KT037321-6,KT037398-406
Tropheus duboisi,D.R. Congo,Bemba,B0-12-P-7,KT037327-9,KT037407
Tropheus moorii,Zambia,Mutondwe Island,"B2-04-P-205-210 (1,3)",KT037330-4,KT037408
Astatotilapia burtoni,Zambia,Mpulungu,T11-CHC2**,,KT037409-10
Serranochromis robustus,Zambia,Fiwili,B5-15-P-1,KT037335,KT037411-3
Neolamprologus fasciatus,Zambia,Kalambo Lodge,B2-04-P-212,KT037336,
