,Gset,Gpan,Gche,Gcos,Gcha,Ggeo,Gokl,Gewi,Gtex,Gexp,Gact,Gpero,Gtho,Gtri,Gnad,Tmin,Tbar
GburA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GburB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gbre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gpers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ound,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocav,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oche,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pbul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ccas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cmer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ztri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tbot,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Ttal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
