,Gpan,Gnad,Tmin,Gtex,Gokl,Gtho,Tbar,Gexp,Gact,Gpero,Gcos,Ggeo,Gset,Gewi,Gcha,Gtri,Gche
Pbul,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GburA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ttal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gbre,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ohis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Oche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ccas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cmer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ohet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tbot,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ound,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ocav,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ztri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GburB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gpers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
