,Scaeva_mel,Megachile_semi,Centris_cineraria,Megachile_sp1,Caenohalictus_sp1,Alloscirtetica_sp1,Auca_coctei,Anthidium_chilensis,Villa_spp.,Etcheverrius_ch,Bombus_dahlbomii,Megachile_sp_2,Panur_sp1,Sarcophagidae_sp1,Anthidium.f,Anthidium_gayi,Villa_hypoxantha,Villa_verdensis,Anthidium_decapsilum,Cadeguala_occidentalis,Centris_nigerrima,Xanthocolletes_sicheli,Tachinidae_sp1,Alloscirtetica_rufitarsis,Hypodynerus_sp1,Bombyliidae,Lycophlaeba_lug,Ruiziella_luctuosa,Truphloechus_bellus,Villa_semifus,Faunula_leuco,Yramea_lathonoides,Alloscirtetica_gayi,Anthophora_incerta,Anthophora_sp1,Centris_sp,Hypodynerus_sp2,Hypodynerus_sp3,Liphanthus_sabulosus,Lithurgomma_wagen,Mesonychium_gayi,Ruizantheda_mut,Xanthocolletes_incahuasi,Anthomyiidae_sp2,Chaetodemoticus_chilensis,Euryglos_ph,Habromyia_lipo,Spathipalpus_ph,Villa_flavicura,Pseudolucia_chilensis,Tatochila_mercedis,Anthidium_adriani,Caenohalictus_sp2,Caenohalictus_sp3,Caupolicana_dimidiata,Chilicola_sp.1,Chilicola_sp2,Chilimelissa_sp1,Coelioxys_sp1,Colletes_aruacariae,Colletes_fulvipes,Colletes_sp1,Corynurus_sp,Dialectus_sp,Elaphroptera_relicta,Hemicolletes_ruiz,Isepeolus_ni,Liphanthus_sp1,Liphanthus_sp2,Svastrides_melanura,Tapinotaspis_caerulea,Tapinotaspis_herbsti,Vespidae,Xanthocolletes_sp,Agromyzidae_sp1,Agromyzidae_sp2,Anthomyiidae_sp4,Bibionidae_sp1,Bibionidae_sp2,Dasybasis_sp1,Eristalis_tenax,Muscidae_sp1,Prosopochaeta_caliginosa,Prosopochaeta_sp.,Scaptia_atra,Tabanidae,Vibrissomyia_sp,Villa_arenari,Villa_durvillei,Villa_gai,Villa_guttapennis,Andinus_venustus,Hypsochila_wagen,Phulia_nymphula,Tatochila_sp,Buprestidae
Phacelia_secunda,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Senecio_bustillosianus,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stachys_albi,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio_erucaeformis,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Adesmia_conferta,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calandrinia_affinis,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Chaetanthera_euphrasioides,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Astragalus_curvicaulis,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adesmia_radicifolia,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sisyrinchium_arenarium,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
