,Aralia_nudicaulis,Chimaphila_umbellata,Clintonia_borealis,Cornus_canadensis,Cypripedium_acaule,Linnaea_borealis,Maianthemum_canadense,Medeola_virginiana,Oxalis_montana,Pyrola_secunda,Trientalis_borealis,Trillium_undulatum
Acmaeopsoides_rufula,0,0,0,1,0,0,0,0,0,0,0,0
Agiotes_stabilis,0,0,0,0,0,0,2,0,0,0,0,0
Ancistrocerus_sp.,0,0,0,2,0,0,0,0,0,0,0,0
Andrena_melanochroa,0,0,0,3,0,0,0,0,0,0,0,0
Andrena_miranda,0,0,0,2,0,0,1,0,0,0,0,0
Andrena_nivalis,0,0,0,1,0,0,1,0,0,0,0,0
Andrena_rufosignata,0,0,0,2,0,0,0,0,0,0,0,0
Andrena_sigmundi,0,0,0,1,0,0,0,0,0,0,0,0
Andrena_thaspii,0,0,0,1,0,0,0,0,0,0,0,0
Andrena_wheeleri,1,0,0,0,0,0,0,0,0,0,0,0
Andrena_wilkella,0,0,1,0,0,0,0,0,0,0,0,0
Andrena_w-scripta,1,0,0,7,0,0,0,0,0,0,0,0
Anthaxia_expansa,0,0,0,3,0,0,0,0,0,0,0,1
Anthonomus_sp.,0,0,0,1,0,0,0,0,0,0,0,0
Blera_badia,0,0,0,1,0,0,0,0,0,0,0,0
Blera_confusa,0,0,0,10,0,0,0,0,0,0,0,0
Blera_nigripes,0,0,0,1,0,0,0,0,0,0,0,0
Bombus_perplexus,3,0,0,2,0,0,0,0,0,0,0,0
Bombus_ternarius,0,0,2,1,0,0,0,0,0,0,0,0
Bombus_terricola,2,4,3,4,0,0,0,0,0,0,0,0
Bombus_vagans,8,5,6,17,2,1,1,0,0,1,0,0
Bombylius_major,0,0,0,4,0,0,3,0,0,0,0,0
Bombylius_pigmaeus,0,0,0,0,0,0,1,0,0,0,0,0
Cantharis_sp.,0,0,0,1,0,0,0,0,0,0,0,0
Carposcalis_confusus,0,0,1,0,0,1,1,0,0,0,1,1
Carposcalis_obscura,0,0,0,0,0,0,0,0,0,0,1,0
Cateres_pennatus,1,0,0,0,0,0,0,0,0,0,0,0
Celastrina_argiolus,0,0,0,2,0,0,0,0,0,0,0,0
Chalcosyrphus_curvarius,0,0,0,1,0,0,0,0,0,0,0,0
Chalcosyrphus_inarmatus,0,0,0,1,0,0,0,0,0,0,0,0
Chalcosyrphus_memorum,0,0,0,1,0,0,0,0,0,0,0,0
Chalcosyrphus_nigra,0,0,0,2,0,0,0,0,0,0,0,0
Cheilosia_pallipes,0,0,0,0,0,0,0,0,2,0,0,0
Cheilosia_sialia,0,0,0,2,0,0,0,0,0,0,0,0
Cheilosia_slossonae,0,0,0,0,0,0,1,0,0,0,0,0
Cheilosia_tristis,1,0,0,0,0,0,0,0,0,0,0,0
Crabro_sp.,0,0,0,1,0,1,0,0,0,0,0,0
Dalopius_sp.,0,0,0,1,0,0,0,0,0,0,0,0
Dialictus_cressoni,3,0,1,0,0,1,3,0,0,0,0,0
Dialictus_imitatus,1,0,1,0,0,0,0,0,0,0,0,0
Dialictus_sp.,1,0,1,17,0,6,14,0,1,1,0,1
Eclimus_harrisi,0,0,0,1,0,3,0,0,0,0,0,0
Ephemerella_sp.,0,0,0,0,0,0,0,1,0,0,0,0
Eremomyioides_setosa,0,0,0,0,0,0,1,0,0,0,0,0
Eudasyphora_cyanicolor,0,0,0,1,0,0,0,0,0,0,0,0
Eupyses_vestris,0,0,0,0,0,1,0,0,0,0,0,0
