,Cornus_florida,Vitis_spp.,Rhus_radicans,Celastrus_orbiculatus,Lindera_benzoin,Smilax_rotundifolia,Lonicera_japonica
Euphagus_carolinus,0,0,0,1,0,0,0
Cardinalis_cardinalis,2,10,0,13,1,6,2
Parus_atricapillus,0,0,16,0,0,0,0
Zenaidura_macroura,0,1,0,0,1,0,0
Carpodacus_purpureus,2,0,0,0,0,0,0
Colaptes_auratus,1,0,1,0,0,0,0
Quiscalus_quiscula,90,72,0,0,0,0,0
Junco_hyemalis,51,0,10,28,0,0,1
Mimus_polyglottos,1,0,1,4,0,1,0
Turdus_migratorius,110,17,0,3,21,0,0
Sturnus_vulgaris,0,0,0,3,0,0,0
Zonotrichia_albicollis,13,4,1,32,20,27,24
Catharus_guttata,6,0,0,3,1,0,0
Parus_bicolor,1,1,3,3,0,0,0
Pipilo_erythophtalmus,1,0,0,0,0,0,0
Dendroica_coronata,0,0,25,0,0,0,0
Bombycilla_cedrorum,0,0,0,4,0,0,0
Picoides_pubescens,0,0,8,0,0,0,0
Picoides_villosus,0,0,3,0,0,0,0
Melanerpes_carolinensis,0,2,2,0,0,0,0
Vireo_olivaceus,1,0,0,0,0,0,0
