,Manucodia_keraudrenii,Diphyllodes_magnificus,Parotia_lawesii,Paradisaea_raggiana,Lophorina_superba,Paradisaea_rudolphi,Manucodia_chalybatus,Ptiloris_magnificus,Epimachus_albertisii
Chisocheton,1,1,1,1,1,1,1,1,1
Cissus_hypoglauca,1,1,1,1,1,1,0,1,1
Elmerrillia,1,1,1,1,1,0,1,0,1
Ficus_gul,1,1,1,1,1,1,1,0,0
Ficus_odoardi,1,1,1,1,1,0,1,1,0
Ficus_275,1,1,1,1,1,1,1,0,0
Ficus_371,1,0,1,1,1,1,1,0,1
Homalanthus,1,1,1,1,1,1,0,1,0
Gastonia,1,1,1,1,0,1,0,1,0
Endospermum,1,1,1,1,1,0,0,0,0
S._sogerensis,1,1,1,1,1,0,0,0,0
Dysoxylum,1,1,1,1,0,0,0,0,0
Myristica,1,1,1,1,0,0,0,0,0
Pandanus,0,1,0,1,1,1,0,0,0
Schefflera,0,1,1,0,0,1,0,1,0
Ficus_202,1,1,0,0,0,0,1,0,0
Ficus_181,1,0,1,0,0,1,0,0,0
Ficus_246,1,1,0,0,0,0,1,0,0
Syzygium,1,0,1,1,0,0,0,0,0
Zingiberaceae,0,1,0,0,0,1,1,0,0
Aglaia,0,0,1,1,0,0,0,0,0
C._aristata,0,1,0,0,0,0,1,0,0
Aporusa,0,0,0,0,1,0,0,0,0
Canthium,0,1,0,0,0,0,0,0,0
Ficus_drupacea,1,0,0,0,0,0,0,0,0
Ficus_217,1,0,0,0,0,0,0,0,0
Glochidion,0,1,0,0,0,0,0,0,0
Piper,1,0,0,0,0,0,0,0,0
Sloanea_aberrans,0,1,0,0,0,0,0,0,0
Sterculia,0,0,1,0,0,0,0,0,0
Uvaria,1,0,0,0,0,0,0,0,0
