,1,2,5,6,4,3,8,7
Muscidae sp.,1,1,0,1,1,0,1,0
"Anaspis flava Linnaeus, Scraptiidae,Anaspidinae",0,1,1,0,1,0,1,0
Meligethes spp.,1,1,0,1,1,0,0,0
Dolichopodidae sp.,1,1,0,1,0,1,0,0
"Byturus aestivus Linnaeus, Byturidae",1,0,1,0,0,1,0,0
"Dasytes plumbeus Müller, Dasytidae",1,1,1,0,0,0,0,0
Apocrita (Entomophaga) sp.,0,1,1,1,0,0,0,0
Adscita statices ,0,0,1,0,0,1,1,0
Campus pratella,1,1,0,1,0,0,0,0
Empididae sp.,1,1,0,0,1,0,0,0
Lauxaniidae sp.,0,0,0,1,1,0,0,1
Anaspis rufilabris Gyllenhal,1,1,0,0,0,0,0,0
Leptura rubra Linnaeus,1,1,0,0,0,0,0,0
"Olibrus aeneus Fabricius, Phalacridae",0,0,1,0,0,1,0,0
"Bombus hortorum (Linnaeus), Apidae",0,0,0,1,0,1,0,0
Bombus pascuorum (Scopoli),0,0,0,1,0,0,1,0
Nemophora degrella,0,1,0,1,0,0,0,0
Mycetophilidae sp.,0,0,0,0,0,1,0,1
Chloropidae sp.,1,1,0,0,0,0,0,0
Clusiidae sp.,0,1,0,0,1,0,0,0
Chrysogaster solstialis,1,1,0,0,0,0,0,0
Coleoptera sp.,0,0,1,0,0,0,0,0
Anaspis frontalis Linnaeus,0,0,0,1,0,0,0,0
"Cantharidae sp., Cantharidae",1,0,0,0,0,0,0,0
Grammoptera ruficornis Fabricius,1,0,0,0,0,0,0,0
Ceuthorrhynchus pollinarius Forster,0,0,0,0,1,0,0,0
Rhynchites germanicus Herbst.,0,0,1,0,0,0,0,0
Strophosomus capitatus de Geer,0,0,1,0,0,0,0,0
"Epuraea depressa Illiger, Nitidulidae",1,0,0,0,0,0,0,0
"Aphantopus hyperantus, Nymphalidae",1,0,0,0,0,0,0,0
Maniola jurtina,0,0,1,0,0,0,0,0
"Polyommatus icarus, Lycaenidae",0,0,1,0,0,0,0,0
Bibionidae sp.,0,0,1,0,0,0,0,0
Scatopsidae sp.,1,0,0,0,0,0,0,0
Opomyzidae sp.,0,0,0,0,0,0,1,0
Episyrphus balteatus,0,0,1,0,0,0,0,0
Eumerus tuberculatus,0,0,0,0,0,0,1,0
Melanostoma scalare,0,0,0,0,1,0,0,0
Neocnemodon sp.,0,1,0,0,0,0,0,0
Rhingia campestris,0,0,0,1,0,0,0,0
Volucella pellucens,1,0,0,0,0,0,0,0
Tachinidae sp.,0,0,0,0,1,0,0,0
