,Cassinia vauvilliersi,Pratia angulata,Wahlenbergia albomarginata,Gentiana corymbifera,Celmisia coriacea,Galium propinquum,Helichrysum bellidioides,Celmisia armstrongii,Chrysanthemum leucanthemum,Craspedia uniflora,Hoheria glabrata,Senecio bellidioides,Hebe odora,Senecio bidwilli,Parahebe lyalii,Senecio scorzoneroides,Ranunculus lyalii,Ourisia macrocarpa
Melangyna sp.,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
Unidentified sp. (Muscidae),0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
Leioproctus fulvescens,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Avibrissina isolata,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Cheilosia fulvipes,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Cheilosia sp.,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Leioproctus A,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Lasioglossum A,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peremptor modica,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Veluta albicincta,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Melangyna novaezelandiae,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified sp. (Dolichopodidae),0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Argirophenga sp.,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Erythronychia aliena,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Heteria plebeia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Occisor n. sp.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proscissio cana,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proscissio lateralis,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Procissio sp. (near kumarensis),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zealandotachina nigrifemorata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilinasica cingulata,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Xylota montana,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Unidentified sp. (Empididae),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apsonia muscaria,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
