,Chauliognathus_sp.,Dysmorphocellus_sp.,Hyponotum_kraussei,Callideriphus_laetus,Chenoderus_testaceus,Platynocera_gracilipes,Platynocera_gracilis,Clamirius_apicarius,Eurymetopun_obscurum,Eurymetopun_prasinum,Eurymetopun_proteus,Adalia_deficiens,Dasydema_hirtella,Rhopalomerus_tenuirostris,Chlamysus_sp.,Melanophthalma_aff._seminigra,Hylodanacea_binotus,Hylodanacea_elegans,Mordella_erythrura,Mordella_luctuosa,Species_1,Species_2,Species_4,Species_5,Species_6,Species_7,Species_8,Mecopselaphus_maculicollis,Schizochelus_serratus,Species_1,Species_2,Species_4,Species_7,Species_10,Species_11,Species_12,Species_13,Species_15,Species_16,Species_17,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6,Species_7,Megalybus_crassus,Species_1,Species_1,Species_2,Species_4,Species_5,Thrypticus_sp._1,Species_1,Species_1,Species_4,Craspedochaeta_linbinervis,Fannia_Species_1,Fannia_Species_2,Fannia_Species_3,Fannia_Species_4,Fannia_Species_5,Fannia_Species_6,Fannia_Species_8,Trichophthalma_commutata,Trichophthalma_herbsti,Species_1,Species_3,Species_4,Species_5,Species_6,Allograpta_hortensis,Allograpta_pulchra,Cheilosia_nitescens,Dolichogyna_chilensis,Dolichogyna_nigripes,Eristalis_assimilis,Eristalis_elegans,Eristalis_tenax,Fazia_bullaephora,Fazia_macquarti,Macrometopia_atra,Melanostoma_chalconotus,Melanostoma_fenestratus,Melanostoma_lundbladi,Melanostoma_sp.,Mesograpta_calceolatus,Mesograpta_philippi,Stilbosona_cyanea,Syrphus_octomaculatus,Tropidia_sp.,New_species,Scaptia_(pseudomelpia)_horrens,Lypha_erigonopsidis,Morphodexia_sp.,Peleteria_filipalpis,Species_2,Species_3,Apis_mellifera,Bombus_dahlbomii,Species_2,Diphaglossa_gayi,Cadeguala_albopilosa,Cadeguala_occipitalis,Corynura_corynogastra,Corynura_patagonica,Corynura_rubella,Corynura_aff._lepida,Corynura_aff._atrovirens,Caenohalictus_movilicornis,Callochlora_chloris,Species_1,Species_2,Species_1,Species_1,Species_2,Hypodynerus_sp.,Vespula_germanica,Species_1,Species_2,Species_1,Vanessa_sp.,Eroessa_chilensis,Species_1,Protosialis_chilensis,Carduelis_barbatus,Phrygilus_patagonicus,Elaenia_albiceps,Sephanoides_sephaniodes
Amomyrtus_luma,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amomyrtus_meli,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Anagallis_alternifolia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteranthera_ovata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Berberis_darwinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Berberis_buxifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldcluvia_paniculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eucryphia_cordifolia,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
Embothrium_coccineum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Gaultheria_mucronata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
