,Coereba_flaveola,Columba_squamosa,Euphonia_musica,Icterus_dominicensis,Loxigilla_portoricensis,Margarops_fuscatus,Molothrus_bonariensis,Nesospingus_speculiferus,Spindalis_portoricensis,Tiaris_bicolor,Todus_mexicanus,Turdus_plumbeus,Tyrannus_dominicensis,Vireo_altiloquous,Zenaida_zenaida
Alchornea_latifolia,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2
Anthurium_scandens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Byrsonima_coriacea,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0
Casearia_arborea,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0
Cecropia_schreberiana,7,1,1,0,10,2,0,1,12,1,1,3,0,1,0
Clusia_rosea,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Cupania_americana,2,0,0,1,7,0,1,0,0,0,0,1,6,3,0
Dendropanax_arboreus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ficus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Guarea_guidonia,0,0,0,0,34,1,0,0,0,0,0,0,2,6,0
Henriettea_fascicularis,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0
Inga_laurina,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inga_vera,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Miconia_affinis,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Miconia_prasina,2,0,0,0,7,1,0,0,15,0,0,0,0,0,0
Miconia_serrulata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Myrcia_splendens,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0
Myrsine_coriacea,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Ocotea_leucoxylon,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoradendron_spp.,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Psychotria_berteroana,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
Schefflera_morototoni,0,3,0,0,0,0,0,0,14,0,0,10,0,1,0
Tournefortia_hisutissima,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
