,Coereba_flaveola,Columba_squamosa,Dendroica_caerulescens,Dendroica_tigrina,Euphonia_musica,Icterus_dominicensis,Loxigilla_portoricensis,Margarops_fuscatus,Melanerpes_portoricensis,Myarchus_antillarum,Nesospingus_speculiferus,Spindalis_portoricensis,Tiaris_bicolor,Todus_mexicanus,Tyrannus_caudifasciatus,Tyrannus_dominicensis,Vireo_altiloquous,Vireo_flavirostris,Vireo_latimeri,Zenaida_asiatica
Alchornea_latifolia,0,0,0,0,0,0,14,0,0,0,0,3,0,1,0,0,3,0,1,5
Andira_inermis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Anthurium_scandens,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Buchenavia_capitata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Casearia_arborea,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Cecropia_schreberiana,2,0,1,3,0,0,6,1,3,0,6,29,0,0,0,0,4,0,0,0
Citrus_sinensis,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Clusia_rosea,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,11,0,0,0
Coffea_arabica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Cordia_sulcata,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
Dendropanax_arboreus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dendropemon_bicolor,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Ficus,0,0,0,0,0,0,0,1,0,0,4,34,0,0,0,0,1,0,0,0
Guarea_guidonia,0,0,0,0,0,0,17,1,0,0,5,0,0,0,0,0,14,1,0,0
Henriettea_fascicularis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inga_laurina,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
Inga_vera,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0
Miconia_affinis,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0
Miconia_racemosa,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Miconia_serrulata,0,0,0,0,2,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0
Momordica_charantia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musa_acuminata,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0
Myrsine_coriacea,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
Palicourea_crocea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palicourea_guianensis,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Philodendron_angustatum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Phoradendron,1,0,0,0,55,0,9,0,0,0,3,10,0,0,0,0,1,1,0,0
Piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Schefflera_morototoni,1,5,0,1,1,0,1,1,0,0,4,56,0,0,1,4,3,0,0,0
Solanum_rugosum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Syzygium_jambos,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Tillandsia,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Zanthoxylum_martinicensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
