,Coereba_flaveola,Columba_squamosa,Euphonia_musica,Loxigilla_portoricensis,Margarops_fuscatus,Molothrus_bonariensis,Myarchus_antillarum,Spindalis_portoricensis,Turdus_plumbeus,Tyrannus_caudifasciatus,Tyrannus_dominicensis,Vireo_altiloquous,Vireo_latimeri
Alchornea_latifolia,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthurium_scandens,0,0,1,0,0,0,0,0,0,0,0,0,0
Ardisia_obovata,0,0,0,0,0,0,0,1,0,0,0,0,0
Bursera_simaruba,0,0,0,1,0,0,0,0,0,0,0,0,0
Cecropia_schreberiana,0,2,0,1,0,0,0,0,1,0,0,0,0
Chrysophyllum_argenteum,0,0,0,0,1,0,0,0,0,0,0,0,0
Clusia_gundlachi,0,1,0,1,2,0,0,0,0,0,0,0,0
Clusia_rosea,1,0,0,3,3,2,1,0,0,0,0,5,1
Comocladia_glabra,0,0,0,1,0,0,0,0,0,0,0,0,0
Cupania_americana,0,0,0,6,0,0,0,0,4,0,2,0,0
Dendropemon_bicolor,0,0,1,0,0,0,0,0,0,0,0,0,0
Ficus,0,0,0,1,1,0,0,0,0,0,0,0,0
Guapira_fragrans,0,0,0,0,1,0,0,0,0,0,0,0,0
Guarea_guidonia,0,0,0,13,11,0,1,0,4,4,0,1,0
Hieronyma_clusioides,0,0,0,0,0,0,0,3,0,0,0,0,0
Marcgravia_rectiflora,0,0,0,0,1,0,0,0,1,0,0,0,0
Ocotea_coriacea,0,3,0,0,6,0,0,0,4,0,2,0,0
Persea_americana,0,0,0,0,1,0,0,1,0,0,0,0,0
Petitia_dominguensis,0,1,0,0,0,0,0,0,0,0,0,0,0
Phoradendron_spp.,0,0,2,0,0,0,0,0,0,0,0,0,0
Roystonea_borinquena,0,11,0,0,0,0,0,0,2,0,0,0,0
Syzygium_malaccensis,0,0,0,0,1,0,0,0,0,0,0,0,0
Zanthoxylum_martinicensis,0,0,0,0,1,0,0,0,0,0,0,0,0
