,Coereba_flaveola,Columba_squamosa,Euphonia_musica,Icterus_dominicensis,Loxigilla_portoricensis,Melanerpes_portoricensis,Myarchus_antillarum,Nesospingus_speculiferus,Spindalis_portoricensis,Turdus_plumbeus,Tyrannus_caudifasciatus,Tyrannus_dominicensis,Vireo_altiloquous,Vireo_flavirostris,Vireo_latimeri
Alchornea_latifolia,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
Casearia_sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cecropia_schreberiana,5,0,1,0,4,1,0,2,17,2,0,1,5,0,0
Citrus_sinensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Coffea_arabica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dendropanax_arboreus,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
Ficus_spp.,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Guarea_guidonia,0,0,0,0,13,1,1,0,0,0,2,1,5,1,0
Inga_vera,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Miconia_laevigatta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miconia_prasina,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Momordica_charantia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Murraya_paniculata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Musa_acuminata,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ocotea_floribunda,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0
Phytolacca_rivinoides,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Piper_amalaga,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Roystonea_borinquena,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Schefflera_morototoni,1,0,0,0,0,0,0,0,7,4,0,4,0,0,0
Solanum_rugosum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tournefortia_hisutissima,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
