,Acmaeops_longicornis,Acmaeops_pratensis,Agapostemon_coloradensis,Agapostemon_splendens,Agapostemon_sp.,Agathis_vulgaris,Anthrax_alternata,Andrena_apacheorum,Anthophora_bomboides,Andrena_braccata,Andrena_canadensis,Andrena_crataegi,Andrena_edwiniae,Anthrax_fulviana,Andrena_gardineri,Anthrax_halycon,Anthrax_hypomelas,Andrena_imitatrix,Anthrax_lateralis,Andrena_lewisi,Andrena_madronitens,Anthophora_neomexicana,Anthrax_nigra,Anthophora_occidentalis,Andrena_placida,Andrena_prunorum,Anthophora_simillima,Anthrax_sinuosa,Anthophora_smithi,Andronicus_sp.,Anthomyia_sp.,Ancistrocerus_sp.,Andrena_sp.,Anthrax_tegminipennis,Anthidium_tenuiflorae,Andrena_vicina,Andrena_washingtoni,Apis_mellifira,Apanteles_sp.,Argynnis_atlantis,Argynnis_eurynome,Arctophila_flagrans,Archytas_sp.,Atrytone_taxiles,Basilarchia_weidemeyeri,Bembix_spinolae,bombus_americanorum,bombus_appositus,Bombylius_atriceps,bombus_bifarius,bombus_centralis,bombus_dorsalis,bombus_edwardsi,bombus_fervidus,bombus_flavifrons,bombus_fulvida,Bombomelecta_fulvida,bombus_hunti,bombus_juxtus,bombus_kirbyellus,bombus_morrisoni,bombus_nevadensis,bombus_occidentalis,bombus_pennsylvanicus,bombus_rufocinctus,Bracon_helena,Brenthis_helena,Brachyopa_notata,Brenthis_triclaris,Bracon_vulgaris,Calliphora_vomitoria,Cerastomia_lignaria,Celerio_lineata,Ceratina_sp.,Cenis_uhleri,Chrysophanus_helloides,Chrysotoxum_integrum,Chionobis_macouni,Chrysogaster_parva,Chilosia_petulca,Chrysophanus_rubidus,Chrysophanus_sirius,Chilosia_tristis,Chrysotoxum_upsilon,Chrysotoxum_ventricosum,Clisodon_sp.,Clisodon_terminalis,Colias_alexandra,Colletes_americanus,Colias_edwardsi,Colias_keewaydina,Colletes_kincaidi,Coelioxys_moesta,Colletes_oromontis,Coenonympha_pamphiloides,Colias_scudderi,Colletes_sieverti,Colletes_sp.,Ctenucha_sp.,Curtipogon_leucozona,Dasyllis_fernaldi,Dejeania_vexatrix,Dolichovespula_arctica,Dolichovespula_diabolica,Echinomyia_algens,Echinomyia_decias,Ectemius_montanus,Ectemius_muricatus,Eliphilus_latifrons,Epalpus_bicolor,Epeolus_helianthi,Epalpus_rufus,Eristalis_arbustorum,Eristalis_dimidiatus,Erebia_epipsodea,Eristalis_flavipes,Eristalis_latifrons,Erynnis_leonardus_snowi,Eristalis_meigeni,Erizoa_olivalis,Eristalis_temporalis,Eristalis_tenax,Exoprosopa_caliptera,Exoprosopa_divisa,Exoprosopa_volucris,Foenus_perplexus,Geocoris_bullatus,Glypta_sp.,Gnophaela_vermiculata,Gonochrysis_densa,Grapta_hylas,Halictus_chloralictus,Halictus_Evylaeus_sp.,Halictus_fendleri,Hammerschmidtia_ferruginea,Halictus_Lasioglossum_sp.,Halictus_lerouxi,Halicyoides_mamus,Halictus_manitonellus,Halictus_medionitens,Halictus_pulzenus,Halictus_sp.,Heriades_gracilior,Heringia_salix,Hyloicus_separatus,Irbisia_brachycerus,Leptura_chrysocoma,Lemonias_nubigena_wheeleri,Litargus_apicalis_opuntiae,Lycaena_glaucon,Lygus_pratensis,Lycaena_pseudargiolus,Mallota_flavoterminata,Melissodes_aurigenia,Melissodes_fremonti,Megachile_gemula_albula,Mesogramma_marginata,Megachile_pugnata,Megachile_relativa,Megachile_texana,Megachile_vidua,Melitaea_whitneyi,Megachile_wootoni,Megachile_wootoni_calogaster,Megachile_sp.,Melitaea_sp.,Melissodes_sp.,Microdon_cothurnatus,Monumetha_albifrons,Monumetha_argentifrons,Mordella_melaena,Myopa_clausa,Nathalis_iole,Nomada_sp.,Odynerus_annulatus,Omalus_sp.,Ophion_sp.,Osmia_abnormis,Osmia_albolateralis,Osmia_bella,Osmia_brevis,Osmia_bruneri,Osmia_coloradella,Osmia_densa,Osmia_fulgida,Osmia_hypoleuca,Osmia_megacephala,Osmia_melanotricha,Osmia_nigrifrons,Osmia_pentstemonis,Osmia_phaceliae,Osmia_propinqua,Osmia_pusilla,Osmia_rohweri,Osmia_sp.,Osmia_wardiana,Oxybelus_sp.,Paragus_bicolor,Parnassius_clodius,Panurginus_cressoniellus,Panzeria_radicum,Papilio_rutulus,Parnassius_smintheus,Panurginus_sp.,Peleteria_robusta,Phormia_camillus,Phorbia_fusciceps,Phormia_regina,Pieris_protodice,Pieris_sisymbri,Pipiza_sp.,Pipiza_vanduzeei,Pompiloides_sp.,Prosopis_basalis,Prosopis_coloradensis,Prosopis_cressoni,Protothyreopus_dilectus,Prosopis_elliptica,Prosopis_episcopalis,Protoparce_quinquemaculatus,Prosopis_sp.,Prosopis_tridentula,Prosopis_varifrons,Prosopis_wootoni,Psithyrus_ashtoni,Psithyrus_consultus,Psithyrus_fernaldae,Psithyrus_insularis,Pseudomelecta_californica_miranda,Pseudomasaris_vespoides,Psammophila_violacepennis,Ptilodexia_harpasa,Pyrameis_atlanta,Satyrus_charon,Scada_opinator,Selasphorus_platycercus,Solenius_sp.,Sphaerophoria_cylindrica,Spegina_infuscata,Sphecodes_sophiae,Specomyia_vittata,Sphex_vulgaris,Sterictophora_sp.,Synanthedon_albicornis,Syrphus_amalopis,Syrphus_americanus,Syrphus_disgregus,Syrphus_nitens,Syrphus_opinator,Syritta_pipiens,Systoechus_vulgaris,Tabanus_rhombicus,Temnostoma_aequale,Tenthredella_flavomarginis,Tetrachrysis_lauta,Tetraopes_sp,Tenthredella_unicincta,Thyreocoris_anthracina,Thanaos_martialis,Theventimtia_muricatus,Thanaos_propertius,Titusella_pronitens,Trichius_affinis,Triepeolus_helianthi_grandior,Trypeta_occidentalis,Trichodes_ornatus,Trichopticus_septentrionalis,Vespa_germanica,Vespa_occidentalis,Volucella_rufomaculata,Volucella_satur,Xylota_angustiventris,Xylota_flavitibia,Xylota_nigra,Zodion_pygmaeum
Achillea_millefolium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aconitum_columbianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium_recurvatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apocynum_androsaemifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquilegia_brevistyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquilegia_coerulea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragallus_lamberti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctostaphylos_uva-ursi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asclepias_halli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asclepias_speciosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
