,Bombus_terr_luc,Bombus_hortorum,Bombus_lapidarius,Bombus_pascuorum,Bombus_pratorum,Psithyrus_vest,Andrena_haemorrhoa,Andrena_pubescens,Andrena_wilkella,Lasioglossum_calceatum,Lasioglossum_leucozonium,Lasioglossum_villosulum,Megachile_willughbiella,Anosymia_sp.,Cheilosia_albitarsis,Chrysogaster_sp,Eristalinus_sepulcharius,Eristalis_intricarius,Eristalis_nemorum,Eristalis_pertinax,Eristalis_tenax,Helophilus_sp.,Helophilus_trivittatus,Lejogaster_splendida,Melanostoma_sp.,Meliscaeva,Neoascia_tenur,Parhelophilus_sp,Platycheirus,Sphaerophoria_sp.,Syrphus_sp,Syritta_pipiens,Tropidia_scitta,Anthomyiidae_sp1,Empis_livida,Eriothrix_rufomaculatus,Lucillia_sp,Chloromyia_formosa,Nemotelus_pantherinus,Odontomyia_tigrina,Odontomyia_viridula,Phaonia_incarna,Pollenia_sp,Rhagio_tringarius,Sarcophaga_sp.,Scathophaga_stercoraria,Tetanocera_ferruginea,Lasiommata_megera,Lycaena_phlaeas,Maniola_jurtina,Polyommatus_icarus,Pyronia_tithonus,Ochlodes_venata,Thymelicus_sp.,Adela_rufimatrella,Autographa,Oligia_sp.,Zygaena_filipendulae,micromoth,Malachius_viridus,Rhagonycha_fulva
Achillea_millefolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Centaurea_nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
Cirsium_arvense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hypochoeris_radicata,15,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,6,1,1,0,0,4,0,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lathyrus_pratensis,175,5,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucanthemum_vulgare,33,2,0,3,2,10,2,1,5,0,0,0,0,1,5,30,192,26,35,2,19,225,5,26,3,0,0,1,5,4,6,29,252,17,15,2,68,0,1,7,4,426,55,5,2,14,1,5,8,19,2,0,0,1,1,0,1,0,6,1,1
Lotus_corniculatus,965,13,1,47,1,1,0,1,7,0,0,0,9,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,4,0,19,3,1,2,7,0,2,0,2,0,0,0
Lychnis_flos-cucculi,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantago_lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunella_vulgaris,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
