,Bombus_terr_luc,Bombus_hortorum,Bombus_lapidarius,Bombus_pascuorum,Bombus_pratorum,Psithyrus_vest,Apis_mellifera,Andrena_chrysosceles,Andrena_pubescens,Anthophora_plumipes,Lasioglossum_calceatum,Lasioglossum_villosulum,Cephus_pygmaeus,Cheilosia_bergenstammi,Episyrphus_balteatus,Eristalis_intricarius,Eristalis_nemorum,Eristalis_tenax,Helophilus_sp.,Melanostoma_sp.,Meliscaeva,Platycheirus,Sphaerophoria_sp.,Syrphus_sp,Tropidia_scitta,Volucella_bombylans,Empis_livida,Eriothrix_rufomaculatus,Lucillia_sp,Pollenia_sp,Sarcophaga_sp.,Scathophaga_stercoraria,Lycaena_phlaeas,Maniola_jurtina,Panemeria_tenebrata,Calocoris_bipunctatus
Centaurea_nigra,8,1,469,35,8,12,14,0,0,0,0,0,0,0,8,0,0,3,2,0,0,2,0,7,0,0,11,0,0,0,0,0,0,110,0,36
Cerastium_fontanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cirsium_arvense,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0,1
Cirsium_palustre,0,0,8,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filipendula_ulmaria,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Galium_verum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochoeris_radicata,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus_pratensis,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucanthemum_vulgare,5,0,36,0,5,3,0,2,0,0,0,0,0,0,0,0,3,9,10,2,1,1,2,2,1,1,20,0,4,2,1,5,0,31,0,0
Lotus_corniculatus,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orchis_morio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Primula_veris,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus_acris,0,0,2,1,0,0,0,0,1,0,1,0,1,4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Taraxacum_officinale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Trifolium_dubium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium_repens,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
