,Apis_mellifera,Anthophora_alluaudi,Megachile_canariensis,Euodynerus_reflexus,Anastoechus_latifrons,Geron_hesperidon,Eristalis_tenax,Eucera_gracilipes,Lasioglossum_viride,Hyleaus_canariensis,Linnaemyia_soror,Anthrax_anthrax,Lasioglossum_actifrons,Melecta_curvispina,Osmia_canariensis,Estheria_simonyi,Cyclyrius_webbianus,Cephalodromia__sp,Andrena_wollestoni,Colletes_dimidiatus,Macroglossum_stellatarum,Scaeva_albomaculata,Tachinidae_sp.,Lucilia_sericata,Bibio_elmoi,Gasteruption_sp,Stomorhina_lunata,Lasioglossum_chalcodes,Anthidium_manicatum,Tachysphex_unicolor,Leptochilus_eatoni,Dermasothes_gracile,Phylloscopus_collybita,Serinus_canarius,Peleteria_ruficornis,Tachina_canariensis,Nyctia_lugubris,Drosophila_sp
Echium_wildpretii,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Pimpinella_cumbrae,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Pterocephalus_lasiospermus,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mentha_longifolia,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Erysimum_scoparium,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartocytisus_supranubius,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolpis_webbii,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrophularia_glabrata,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argyranthemum_teneriffae,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nepeta_teydea,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adenocarpus_viscosus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
