,Pogoniulus_bilineatus,Cholorocichla_flaviventris,Pycnonotus_barbatus,Andropadus_importunus,Lumprocolius_corruscus,Other_species,Tauraco_porphyrocephalus,Buccanodon_leucotis,Zosterops_pallidus,Bycanistes_buccinator
Ficus_vogelii,1,1,1,1,1,1,1,1,1,1
Ficus_natalensis,1,1,1,0,1,1,1,1,1,1
Bridelia_micrantha,1,1,1,1,1,1,1,1,1,0
Ekebergia_capensis,1,1,1,1,1,0,1,1,1,1
Antidesma_venosum,1,1,1,1,0,1,1,1,1,0
Dovyalis_longispina,1,1,1,1,1,0,1,1,1,0
Halleria_lucida,1,1,1,0,1,1,0,1,1,0
Trema_orientalis,1,1,1,1,1,1,0,0,1,0
Apodytes_dimidiata,1,1,1,1,1,1,0,0,1,0
Sideroxylon_inerme,1,1,0,1,1,1,1,1,0,0
Euclea_natalensis,1,1,1,1,0,1,1,1,0,0
Trichilia_emetica,1,1,1,1,1,0,1,0,0,1
Vepris_undulata,1,1,0,1,0,1,0,0,1,0
Mimusops_caffra,1,1,1,0,1,0,1,0,0,0
Strelitzia_nicholai,1,0,1,0,0,0,0,1,0,0
Erianthemum_dregei,1,0,0,0,0,1,0,0,0,0
