,Chamissoa_altissima,Dendropanax_cuneatum,Protium_heptaphyllum,Cabralea_canjerana,Trichilia_clauseni,Ixora_venulosa,Trema_micrantha
Chiroxiphia_caudata,3,0,1,4,2,2,14
Manacus_manacus,1,2,6,1,0,3,13
Tyrannus_savanna,0,0,0,2,0,0,0
Tyrannus_melancholicus,0,0,0,1,0,0,0
Empidonomus_varius,0,0,0,1,0,0,0
Myiodynastes_maculatus,0,0,0,12,0,0,0
Pitangus_sulphuratus,0,0,0,9,0,0,0
Myiarchus_ferox,0,0,0,1,0,0,0
Myiophobus_fasciatus,0,1,0,0,0,0,0
Turdus_rufiventris,0,0,2,0,0,0,0
Tyrannus_leucomelas,0,0,0,8,0,0,0
Tyrannus_amaurochalinus,0,0,0,0,0,1,0
Cyclarhis_gujanensis,0,0,0,0,1,0,0
Vireo_olivaceus,0,0,0,11,10,0,2
Dacnis_cayana,0,0,0,1,0,0,0
Tachyphonus_coronatus,1,0,1,0,3,0,7
Trichothraupis_melanops,5,0,0,0,1,0,0
Saltator_similis,0,3,6,0,2,1,5
