,Penelope_superciliaris,Ramphastos_toco,Tityra_cayana,Chiroxiphia_caudata,Manacus_manacus,Sirystes_sibilator,Tyrannus_savanna,Tyrannus_melancholicus,Myiodynastes_maculatus,Pitangus_sulphuratus,Myiophobus_fasciatus,Elaenia_flavogaster,Cyanocorax_cristatellus,Turdus_rufiventris,Turdus_amaurochalinus,Cyclarhis_gujanensis,Vireo_olivaceus,Coereba_flaveola,Dacnis_cayana,Conirostrum_speciosum,Pipraeidea_melanonota,Tangara_cayana,Thraupis_sayaca,Ramphocelus_carbo,Habia_rubica,Tachyphonus_coronatus,Trichothraupis_melanops,Thlypopsis_sordida,Saltator_similis
Chamissoa_altissima,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,0,1,5,11,0,2
Xylopia_brasiliensis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropanax_cuneatum,0,0,0,2,5,0,0,0,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8
Cordia_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Protium_heptaphyllum,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pereskia_aculeata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Rhipsalis_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
copaifera_langsdorffii,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecropia_pachystachia,0,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,2,3,0,0,0,5,2,0,16,2,0,0
Maytenus_aquifolium,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Momordica_charantia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Pera_glabrata,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,1,0,0,7,1,0,2
Ocotea_corimbosa,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ocotea_cf._macropoda,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ocotea_sp.,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persia_cf._major,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talauma_ovata,0,0,0,0,1,0,0,1,0,3,0,6,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0
Miconia_elegans,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miconia_discolor,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_sp.,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabralea_canjerana,0,0,0,1,0,0,0,2,4,6,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0
Trichilia_clauseni,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,3,2,3,2
Chlorophora_tinctoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ficus_luschnatiana,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomidesia_affinis,0,0,0,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Piper_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rubus_sp.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Palicourea_sp.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zanthoxylum_hyemale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,5,0,0,1,0,0,0,0,0,1,0
Paullinia_rhomboidea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paullinia_sp.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cestrum_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
Trema_micrantha,0,0,0,5,5,0,2,1,1,0,0,2,0,0,0,0,7,0,6,0,0,2,3,1,1,10,12,2,12
Urera_baccifera,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,6,12,7,0,0
Citharexylum_mirianthum,0,0,0,6,1,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
