,Aceros_waldeni,Penelopides_panini,Chalcophaps_indica,Ducula_bicolor,Ducula_poliocephala,Macropygia_phasianella,Phapitreron_leucotis,Ptilinopus_occipitalis,Streptopelia_chinensis,Rhabdornis_mysticalis,Megalaima_haemacephala,Oriolus_chinensis,Pycnonotus_goiavier,Hypsipetes_phylippinus,Sarcops_calvus,Zosterops_nigrorum,Cynopterus_brachyotis,Ptenochirus_jagori,Sub_cebifrons
Alphitonia_excelsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bischhofia_javanica,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ficus_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ficus_heteropleura,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
Ficus_septica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ficus_variegata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ficus_sp._01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Grewia_multiflora,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
Guioa_pleuropteris,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0
Homalanthus_alpinus,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
Leucosyke_capitellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macaranga_bicolor,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0
Mallotus_molissima,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
Strebus_glaber,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0
Tiliaceae_sp._01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astronia_cumingiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_heteropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Homalanthus_rotundifolius,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Lithocarpus_spec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Litsea_quericoides,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Macaranga_tanarius,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0
Microcus_stylocarpa,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0
Platea_excelsa,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Prunus_fragrans,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Syzygium_garciae_(Merr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syzygium_garciae_(Korth),0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Syzygium_sp._01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syzygium_sp._02,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Syzygium_sp._03,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Ternstroemia_megacarpa,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_sp._01,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aglaia_sp._01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarium_asperum,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dillenia_reifferscheidia,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Elaeocarpus_cumingii,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Garcinia_busungaensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Laportaea_luzoniensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litsea_luzonica,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Memexylon_lanceolatum,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Myristica_ceylanica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palaquium_sp._01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Palaquium_sp._02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pometia_pinnata,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapotaceae_sp._01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_sp._02,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
