,Hergeni_herv,Apis_mel,Phthiria_heru,Eristalis_ten,Anthrenus_herh,Lasioglossum_pra,Lasioglossum_imm,hergenj_herw,Ceratina_cuc,Lasioglossum_lit,Lasioglossum_pun,Lasius_nig,Xylocopa_can,Halictus_qua,Lasioglossum_herac,Lobonyx_aen,Mordellistena_herq,hergenk_herx,Metasyrphus_cor,Sphaerophoria_scr,Hergenb_herg,hergeng_herr,Episyrphus_aur,Amegilla_fas,Andrena_his,Ceratina_cya,Colletes_cas,Dasypoda_cin,Lasioglossum_alb,Syntarucus_pir,Malachius_herk,Episyrphus_bal,Eristalis_pra,Eristalodes_tae,Camponotus_lat,Ceratina_moc,Colletes_acu,Colletes_suc,Elis_vil,hergenl_heraf,hergenm_herah,Megachile_mar,Megachile_pil,Meria_heraj,Meria_tri,Plebejus_arg,Acmaeodera_herb,Anthaxia_dim,Chasmatopterus_hero,Coptocephala_uni,Deilus_herd,Heliotaurus_ruf,hergene_herl,hergenf_herm,Nustera_dis,Tropinota_squ,Bombylius_ate,Conophorus_fum,Lathyroptphtalmus_aen,Lathyroptphtalmus_qui,Lomatia_inf,Petrorossia_hert,Amegilla_qua,Andrena_nig,Andrena_squ,Anthidiellum_str,Anthophora_dis,Bombus_luc,Cerceris_are,Cerceris_ryb,Colletes_herab,Lindenius_lut,Stelis_sig,Tetralonia_ber,Tiphia_mor,Aricia_cra,Gegenes_herak,Macroglossum_ste,Pieris_rap,Polyommatus_ica,Anthaxia_par,Attagenus_heri,Cardiophorus_bip,Coptocephala_sco,Hergena_hera,hergenc_herf,hergend_herj,hergenh_hers,Hymenoplia_herp,Malthodes_herc,Mylabrix_hern,Palleira_fem,Tychius_here,Bombylius_fultor,Bombylius_arg,Chrysotoxum_int,Dischistus_sen,Eristalis_arb,Exoprosopa_ita,Melanostoma_mel,Paragus_tib,Sphaerophoria_rue,Syritta_pip,Volucella_ele,Ammophila_hey,Andrena_ass,Andrena_bic,Andrena_bim,Andrena_hery,Anthophora_ace,Anthophora_heraa,Bembix_fla,Bembix_oli,Camponotus_sic,Cataglyphis_via,Colletes_fod,Crematogaster_aub,Dasypoda_ibe,Diodontus_ins,Epeolus_fal,Eucera_his,Eumenes_dub,Gorytes._herai,Halictus_ful,Halictus_gem,Halictus_sca,Halictus_sel,Heriades_cre,Lasioglossum_aeg,Lasioglossum_cal,Lasioglossum_pal,Lasioglossum_vil,Megachile_lea,Mellinus_arv,Nomada_mut,Odynerus_herae,Osmia_herad,Panurgus_herz,Philanthus_tri,Philanthus_ven,Podalonia_tyd,Pryonix_kir,Sphecodes_hir,Sphecodes_pel,Tapinoma_err,Tapinoma_herag,Xylocopa_vio,Acrobasis_por,Agrotis_put,Autographa_gam,Cerocala_sca,Colias_cro,Discestra_sod,Eilema_com,Evergestis_pol,Gonepteryx_cle,Heliothis_arm,Heliothis_nub,Heliothis_pel,hergenn_heral,Hoplodrina_amb,Laeosopis_rob,Lampides_bae,Lycaena_phl,Mecyna_heram,Metachrostis_dar,Metachrostis_vel,Mythimna_vit,Palpita_uni,Pechipogo_plu,Pempeliella_plu,Pieris_bra,Pontia_dap,Psorosa_bre,Psorosa_gen,Pyronia_cec,Rhodometra_sac,Spodoptera_exi,Udaea_mar
Thymeleacea,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cistacea_1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistacea_2,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ericacea_1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamiacea_1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamiacea_2,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plumbaginacea,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosacea,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteracea,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistacea,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
