,Bombus_polaris,Smittia_extrema,Carposcalis_carinata,Aedes_nigripes,Smittia_sp,Cryptus_arcticus,Aedes_impiger,Corynoneura_scutellata,Aedes_sp,Limnophyes_sp,Orthocladiinae_sp,Boloria_sp,Genus_Species_1,Ramphomyia_lamelliseta,Spilogona_melanosoma,Apis_mellifera,Ramphomyia_nigrita,Spilogona_sanctipauli,Pogonomyoides_segnis,Ramphomyia_sp,Spilogona_sp,Protophormia_terraenovae,Peleteriopsis_aenea,Amauronematus_amentorum,Plebejus_aquilo,Allopiophila_arctica,Boreellus_atriceps,Helophilus_borealis,Paraphaenocladius_despectus,Spilogona_dorsata,Ramphomyia_filicauda,Eupogonomyia_groenlandica,Colias_hecla,Spilogona_latilamina,Lasiestra_leucocycla,Hyposoter_luctus,Olethreutes_mengelana,Prosmittia_nanseni,Smittia_polaris,Smittia_polymorpha,Anarta_richardsoni,Pegomyia_sp.,Genus_Species,Genus_Species,Genus__Species,Chironomus_sp.,Petinarctia_stylata,Heterotrissocladius_subpilosus,Spilogona_almquisti,Pseudodiamesa_arctica,Tipula_arctica,Brevicoryne_arctica,Psectrocladius_barbatimanus,Orthocladius_consobrinus,Dolichopus_dasyops,Spilogona_deflorata,Crymodes_exulis,Limnophyes_globifer,Bombus__hyperboreus,Olethreutes_inquietana,Sympistis_labradoris,Cricotopus_lestralis,Tanytarsus_niger,Scatophaga_nigripalpis,Phalacrodira_nigropilosa,Metriocnemus_obscuripes,Fucellia_pictipennis,Rhyncaenus_sp,Genus_Species,Bradysia_Species,Cricotopus_Sp,Einfeldia_sp,Genus_Species,Gynometriocnemus_sp,Orthocladus_sp,Amauronematus_sp,Procladius_sp1,Chironomus_sp3,Limnophyes_sp3,Spilogona_tundrae,Isotoma_viridis
Dryas_species,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Salix_species,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
Saxifraga_oppositifolia,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0
Potentilla_species,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lychnis_triflora,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Papaver_species,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stellaria_species,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epilobium_species,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesquerella_arctica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassiope_tetragona,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerastium_alpinum,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
