,Sylvia_atricapilla,Sylvia_borin,Erithacus_rubecula,Sylvia_melanocephala,Turdus_merula,Turdus_philomelos,Sylvia_communis,Sylvia_hortensis,Sylvia_cantillans,Ficedula_hypoleuca,Phoenicurus_phoenicurus,Sylvia_undata,Saxicola_torquata,Cyanopica_cyanus,Luscinia_megarhynchos,Muscicapa_striata,Sturnus_unicolor
Pistacia_lentiscus,1370.0,336.0,317.0,49.0,115.0,14.0,17.0,9.0,21.0,41.0,9.0,14.0,5.0,12.0,5.0,11.0,61.0
Olea_europaea,146.0,0.6,31.0,2.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,15.0
Phillyrea_angustifolia,96.0,15.0,0.2,14.0,37.0,0.2,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Rhamnus_lycioides,21.0,85.0,2.6,48.0,6.0,0.0,4.0,0.0,3.0,2.0,0.5,0.0,0.0,0.1,0.7,1.0,0.0
Smilax_aspera,15.0,10.0,0.8,2.0,1.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubus_ulmifolius,4.0,14.0,0.5,8.0,9.0,0.0,0.7,0.4,0.9,0.1,0.5,0.0,0.0,0.3,0.3,0.2,0.0
Myrtus_communis,25.0,0.0,26.0,2.0,5.0,4.0,0.0,0.0,0.1,0.0,0.0,0.3,0.1,1.0,0.0,0.0,2.0
Daphne_gnidium,71.0,52.0,0.5,16.0,0.0,0.0,2.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Rubia_pregrina,27.0,38.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osyris_alba,0.6,0.7,0.0,0.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crataegus_monogyna,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
Lonicera_periclymenum,1.0,2.0,0.0,0.7,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asparagus_aculeatus,15.0,0.8,1.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamus_communis,0.0,1.0,0.0,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Pyrus_bourgaeana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Asparagus_aphyllus,0.6,0.3,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
