,Exoneura_sp.,Apis_mellifera,Euryglossa_sp_1,Euryglossa_sp_2,Euryglossa_sp.,Hylaeus_semipersonatus,Hylaeus_sp.,Hyphesma_sp.,Leioproctus_sp_1,Leioproctus_sp_2,Leioproctus_sp_3,Lasioglossum_sp.,Lasioglossum_sp._1,Lasioglossum_sp._2,Lasioglossum_sp._3,Lasioglossum_sp._4,Lasioglossum_sp._5,Lasioglossum_sp._6,Parasphecodes_sp._1,Parasphecodes_sp._2,Parasphecodes_sp._3,Megachile__sp.,Euryinae_sp._1,Euryinae_sp._2,Euryinae_sp._3,Anthoboscinae,Dilophus_sp.,Sciaridae_sp.,Pelecorhynchus_rubidus,Tabanus_froggatti,Stratiomyidae_sp,Therevidae_sp,Comptosia_sylvana,Villa__sp.,Empis_sp_B,Empis_sp_C,Empis_sp_D,Empis_sp_E,Empis_sp_F,Dolichopodidae_sp,Diostracus_sp_1,Eristalis_tenax,Melangyna_sp,Syrphus_sp,Rivellia_sp_F,Sphenella_marginata,Tephritis_sp_A,Tephritis_sp_B,Phytoliriomyza_sp.,Incurviseta_sp_D,Incurviseta_sp_K,Poecilohetaerus_sp,Sapromyza_s,Tapeigaster_nigricornis,Scaptomyza_australis,Hydrellia_sp.,Chloromerus_sp.,Coenosia_sp_A,Coenosia_sp_B,Helina_sp_A,Helina_sp_B,Limnophora_sp.,Musca_vetustissima,Prohardyia_carinata,Calliphora__fulvicoxa,Calliphora__hilli,Calliphora__stygia,Calliphora__sp.,Calliphora__sp_A,Calliphora__sp_B,Alophora_sp,Chaetophthalmus_dorsalis,Prosena_sp_C,Rutilia_sp.,Scaptia_alpina,Senostoma_sp_A,Senostoma_sp_B,Senostoma_sp_D,Unidentified_no._1,Unidentified_no._2,Unidentified_no._3,Unidentified_no._4,Agrostis_infusa,Hippotion_scofa,Oreixenica_orichora
Kunzea_muelleri,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aciphylla_glacialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,2,0,0,2,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,8,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochoeris_radicata,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,51,0,4,0,0,0,49,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epacris_paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0
Orites_lancifolia,8,0,0,1,0,0,0,1,43,0,3,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,1,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Prostanthera_cuneata,38,0,1,0,0,0,0,0,13,0,0,0,0,0,1,0,12,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Craspedia_sp.,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,4,0,41,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0
Gentianella_diemensis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wahlenbergia_ceracea,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,1,8,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio_lautus,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,19
