,Ehretia_tinifolia,Metopium_browneii,Ficus_padifolia,Talisia_olivaeformis,Neea_psychotrioides
Trogon_citreolus,1,1,1,1,1
Pteroglossus_torguatus,1,1,1,1,1
Centurus_aurifrons,1,1,1,1,1
Icterus_gularis,1,1,1,1,1
Ramphastos_sulfuratus,1,1,1,0,1
Centurus_pygmaeus,1,1,1,1,0
Tityra_semifasciata,1,1,1,0,1
Megarynchus_pitangua,1,1,1,0,1
Psilorhinus_morio,1,1,1,1,0
Saltator_atriceps,1,1,1,1,0
Aratinga_astec,1,1,0,1,0
Amazona_albifrons,1,1,0,1,0
Tyrannus_melancholicus,1,1,1,0,0
Myiozetetes_similis,1,1,1,0,0
Cyanocorax_yncas,1,1,0,1,0
Cissilopha_yucatanica,1,1,0,1,0
Icterus_chrysater,1,1,0,1,0
Dives_dives,1,0,1,1,0
Euphonia_hirundinacea,1,1,1,0,0
Ortalis_vetula,1,1,0,0,0
Pitangus_sulphuratus,1,0,1,0,0
Turdus_grayi,1,0,1,0,0
Icterus_prosthemelas,1,0,0,1,0
Icterus_auratus,1,0,0,1,0
Icterus_mesomelas_,1,0,0,1,0
Euphonia_affinis,0,0,1,0,1
Cotinga_amabilis,0,0,1,0,0
