,Anthriscus aemula,Hydrangea paniculata,Euonymus alatus,Hydrangea macrophylla,Hydrangea hirta,Weigela hortensis,Viburnum plicatum,Angelica pubescens,Astilbe thunbergii,Swida controversa,Deutzia crenata,Symplocos chinensis,Rabdosia trichocarpa,Castanea crenata,Prunus salicina,Prunus Grayana,Rhus javanica,Persicaria thunbergii,Ixeris dentata,Corydalis pallida,Prunus incisa,Corydalis lineariloba,Salix gracilistyla,Lysimachia clethroides,Phellodendron amurense,Reynoutria japonica,Viola verecunda,Cardiandra alternifolia,Geranium nepalense,Anemone flaccida,Persicaria pubescens,Viola kusanoana,Viola vaginata,Ampelopsis brevipedunculata,Cirsium kagamontanum,Stenactis annuus,Rubus microphyllus,Spuriopimpinella nikoensis,Aster glehni,Persicaria senticosa,Cacalia delphiniifolia,Hovenia tomentella,Ligustrum obtusifolium,Aruncus dioicus,Lespedeza bicolor,Rubus palmatus,Euonymus sieboldianus,Kalimeris yomena,Styrax japonica,Rosa multiflora,Rubus illecebrosus,Rhus trichocarpa,Oxalis griffithii,Impatiens textori,Bistorta tenuicaulis,Stachyurus praecox,Agrimonia pilosa,Geum japonicum,Rubus parvifolius,Aesculus turbinata,Acer rufinerve,Angelica polymorpha,Carpesium divaricatum 1,Rabdosia longituba,Adenocaulon himalaicum,Magnolia salicifolia,Epimedium grandiflorum,Antenoron filiforme,Persicaria aestiva,Viola grypoceras,Desmodium podocarpum,Trifolium repens,Alangium platanifolium,Aucuba japonica,Benthamida kousa,Impatiens noli-tangere,Cryptotaenia japonica,Tripterospermum japonicum,Clinopodium micranthum,Salvia glabrescens,Plantago asiatica,Patrinia villosa,Ainsliaea acerifolia,Carpesium divaricatum 2,Cirsium japonicum,Petasites japonicus,Siegesbeckia orientalis,Commelina communis,Disporum sessile,Polygonatum macranthum,Tricyrtis hirta
Bombus (Diversobombus) diversus diversus,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
Bombus (Thoracobombus) honshuensis,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Ceratina megastigmata ,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eristalis cerealis ,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasioglossum (Et.) apristum,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bombus (Bombus) hypocrita hypocrita,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellistena sp. ,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis cerana ,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasioglossum (El.) transpositum,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUSIIDAE1 ,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
