,S._4_obliqua,S._2_aff._obliqua,S._14_hesperidiiformis,S._12_xylosycia,S._11_glandifera,S._8_pleurocarpa,S._10_crassipes,S._9_triradiata,S._15_rubiginosa,S._1_brachypoda,S._7_subpuberula,S._6_lilliputiana,S._5_cerasicarpa,S._3_playpoda,S._australis_macrophylla
P._greenwoodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P._xanthocephalus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P._plebejus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P._rieki,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P._blandus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P._regalis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P._nitens,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P._schizodontes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P._imperialis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P._athysanus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P._astrabocheilus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P._proximus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P._macrocainus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P._cuneatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P._froggatti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
