,Copestylum_aricia,Copestylum_sp2,Eristalis_bogotensis,Eristalis_tenax,Carposcalis_punctulata,cf._Toxomerus_sp.,Scaeva_occidentalis,Syrphidae_sp3,Ocyptamus_meridionalis,Alipumilio_sp,Carposcalis_saltana,Tachinidae_sp4,Tachinidae_sp5,Tachinidae_sp6,Tephritidae_sp,Buprestidae_sp,Cantharidae_sp,Anthomyiidae_sp2,Eriopis_cf._conexa,Coccinelidae_sp1,Coccinelidae_sp2,Coccinelidae_sp3,Curculionidae_sp,Epicauta_sp.,Moredllidae_sp,Hemiptera_sp1,Hemiptera_sp2,Arhysosage_bifasciata,Callonychium_mandibulare,Psaenythia_rufipes,Alloscirtetica_herbsti,Apis_mellifera,Centris_muralis,Centris_sp.,Diadasia_patagonica,Svastrides_zebra,Bibionidae_sp1,Colletes_lycii,Hypodinerus_sp3,Eumenidae_sp,Augochloropsis_sp.,Caenohalictus_sp1,Caenohalictus_sp2,Dialictus_sp1,Dialictus_sp2,Anthidium_rubriceps,Chalepogenus_caeruleus,Megachile_sp3,Megachile_sp4,cf._Entypus_sp.,Ammophila_sp.,Oxybelus_sp.,Prionyx_sp.,Sphecidae_sp.,Geometridae_sp,Bibionidae_sp2,Vanessa_cf._cardui,Tatochila_sp.,Thysanoptera_sp2,Sappho_sparganura,Thyridanthrax_sp4,Compsomyiops_fulvicrura,Calliphoridae_sp2,Empididae_sp,cf._Notiphila_sp.,Ephydridae_sp.,Muscidae_sp1,Muscidae_sp2,Muscidae_sp3,Muscidae_sp4,cf._Microcerella_sp.,Sarcophagidae_sp.
Adesmia_retrofracta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjona_patagonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baccharis_pingraea,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Discaria_trinervis,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1
Grindelia_chiloensis,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1
Hysterionica_jasionoides,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junellia_cf._Tonini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larrea_divaricata,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lecanophora_heterophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
