,Agrimonia_eupatoria,Leontodon_autumnalis,Lotus_corniculatus,Medicago_lupulina,Rubus_fruticosus,Hypochaeris_radicata,Centaurea_nigra,Euphrasia_officinalis,Linum_catharticum,Convulvulus_arvensis,Knautia_arvensis,Aethusa_cynapium,Eupatorium_cannabinum,Plantago_major,Leontodon_saxatilis,Lathyrus_pratensis,Clematis_vitalba,Senecio_jacobaea,Trifolium_pratense,Chamerion_angustifolium,Leontodon_hispidus,Crepis_capillaris,Torilis_japonica,Angelica_sylvertris,Daucus_carota
Coleoptera_sp.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Coleoptera_sp.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Coleoptera_sp.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coleoptera_sp.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coleoptera_sp.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coleoptera_sp.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Coleoptera_sp.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cantharidae_sp._1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3
Curculionidae_sp._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Diptera_sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Diptera_sp.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_sp.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Diptera_sp.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,13
Conipidae_sp._1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Diptera_sp.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,1,0,31
Diptera_sp.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9
Scatophaga_stercoraria,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,10
Diptera_sp.7,0,0,0,0,0,0,1,0,0,0,2,1,7,0,0,0,0,0,2,0,1,1,0,0,45
Diptera_sp.8,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,1,0,0,4,0,32
Diptera_sp.9,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,6
Diptera_sp.10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Diptera_sp.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Diptera_sp.12,0,1,0,0,0,0,3,0,0,0,0,8,28,0,0,0,0,0,0,0,2,1,22,2,97
Diptera_sp.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Diptera_sp.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Diptera_sp.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Diptera_sp.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_sp.17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Diptera_sp.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Diptera_sp.19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
Eriothrix_rufomaculata,1,1,0,0,0,1,3,1,3,0,3,8,31,0,0,0,0,0,4,8,19,0,27,0,88
Diptera_sp.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Diptera_sp.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,33,0,107
Diptera_sp.22,1,20,0,0,0,8,3,0,1,0,6,8,6,0,7,0,1,3,1,3,139,10,43,2,125
Diptera_sp.23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0
Diptera_sp.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_sp.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tephritidae_sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Diptera_sp.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Diptera_sp.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9
Chrysotoxum_bicinctum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Episyrphus_arbustorum,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,0,1,12
E._balteatus,2,0,0,0,0,3,9,0,1,1,0,9,4,0,2,0,3,1,1,0,35,0,36,0,52
Eristalis_pertinax,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,1,0,1,0,0
E._tenax,0,1,0,0,0,0,1,0,0,0,10,0,4,0,0,0,0,0,1,0,11,0,0,0,5
Helophilus_pendulus,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
H._trivittatus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melanostoma_mellinum,1,0,0,0,0,2,0,0,1,0,0,2,0,4,0,0,0,1,0,0,0,1,2,0,12
M._scalare,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,4
Meliscaeva_auricollis,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2
Metasyrphus_corollae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Platycheirus_albimanus,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
P._clypeatus,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
P._scutatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_Rhingia_campestris,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Scaeva_pyrastri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerophoria_scripta,2,16,0,3,0,14,8,0,16,1,2,0,16,0,3,0,0,3,2,1,101,5,3,0,51
Syritta_pipiens,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,6,0,6,1,40
Syrphus_ribesii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
S._vitripennis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
Xanthogramma_pedissequum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bombus_lapidarius,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
B._muscorum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
B._pascuorum,0,0,1,0,0,0,7,0,0,0,4,0,0,0,0,1,0,0,14,0,0,0,0,0,0
B._terrestris,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psithyrus_sp.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis_mellifera,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasitica,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,6,1,63
Formicidae_sp._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
