,Boloria_improba,Colias_hecla,Colias_nastes,Anarta_richardsoni,Rhamphomyia_sp.,Boreellus_atriceps,Protocalliphora_sp.,Spilogona_aesturium,Spilogona_almquistii,Spilogona_dorsata,Spilogona_hurdiana,Spilogona_latilamina,Spilogona_melanosoma,Spilogona_projecta,Spilogona_sanctipauli,Eupogonomyia_probilofensis,Pogonomyiodes_segnis,Bombus_polaris
Cerastium_alpinum,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
Caltha_palustris,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,0
Papaver_radicatum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Potentilla_vahliana,0,0,0,0,0,3,1,0,5,2,0,5,1,0,19,7,1,0
Dryas_integrifolia,8,0,0,0,0,0,0,0,3,0,0,0,0,1,15,2,5,0
Geum_rossii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Astragalus_alpinus,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Oxytropis_arctica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petasites_frigidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arnica_alpina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
Taraxacum_sp.,0,0,0,0,1,1,0,2,3,0,0,0,0,0,1,0,0,0
