,Aulacorhynchus_prasinus,Ramphastos_sulfuratus,Icterus_galbula,Chamaepetes_unicolor,Columba_fasciata,Columba_flavirostris,Pharomachrus_mocinno,Trogon_aurantiiventris,Momotus_momota,Semnornis_frantzii,Piculus_rubiginosus,Melanerpes_aurifrons,Chiroxiphia_linearis,Tityra_semifasciata,Procnias_tricarunculata,Myiodynastes_luteiventris,Megarhynchus_pitangua,Myiozetetes_similis,Myiarchus_tuberculifer,Elaenia_flavogaster,Elaenia_frantzii,Mionectes_olivaceus,Psilhorinus_morio,Myadestes_melanops,Turdus_assimilis,Turdus_grayi,Turdus_plebejus,Catharus_ustulatus,Phainoptila_melanoxantha,Dacnis_venusta,Chlorophonia_callophrys,Euphonia_hirundinacea,Tangara_icterocephala,Tangara_dowii,Thrauphis_episcopus,Piranga_rubra,Chlorospingus_ophthalmicus,Pheucticus_ludovicianus,Melozone_leucotis,Atlapetes_gutturalis
Acnistus_arborescens,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_tuerckheimii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampea_appendiculata,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapium_oligoneuron,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharexylum_integerrimum,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocotea_tonduzii,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trema_micrantha,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasseltia_floribunda,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concostegia_bernouliana,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urera_elata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
