,Andrena_Scaphandrena_arabis,Andrena_Melandrena_carlini,Andrena_Trachandrena_ceanothi,Andrena_Melandrena_dunningi,Andrena_Ptilandrena_erigeniae,Andrena_Scrapopteris_imatrix,Andrena_Simandrena_nasonii,Andrena_Euandrena_nigrihirta,Andrena_Micrandrena_personata,Andrena_Andrena_tridens,Andrena_Tomelissa_violae,Andrena_Micrandrena_ziziaeformis,Ceratina_calcarata,Ephemoropsis_laboriosa,Nomada_Heminomada_bishopii,Nomada_Heminomada_luteola,Nomada_Gnathias_perplexa,Nomada_Nomada_pygmaea,Nomada_Nomada_sayi,Nomada_sp.,Xylocopa_virginica_virginica,Apis_mellifera,Bombus_bimaculatus,Bombus_pennsylvanicus,Augochlora_pura,Augochorella_striata,Dialictus_abanci,Dialictus_cressonii,Evylaeus_macoupinensis,Lassioglossum_fuscipenne,halictid_sp.,Osmia_atriventris,Osmia_conjucta,Osmia_lignaria,Osmia_simillima,Osmia_sp.,Hylemya_platura,Bombylius_major,Platycheirus_obscurus,Toxomerus_geminatus,Gonia_sp.,unknown_sp.,Lycaenopsis_argiolus,Euchlo_creusa_lotta
Hepatica_americana,0,1,0,0,0,0,0,27,0,9,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,5,0,5,0,1,0,0,0,0,0,8,20,0,0,4,0,0,0
Erythronium_umbilicatum,0,4,0,0,0,0,0,273,0,72,0,0,0,0,0,0,8,0,0,1,2,52,0,0,1,1,3,0,0,0,0,0,4,4,0,7,0,2,0,0,0,0,0,0
Sangiunaria_canadensis,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0
Claytonia_virginica,0,1,1,0,378,1,3,13,0,2,0,1,3,0,0,0,6,8,0,32,1,4,0,0,1,1,7,5,4,0,22,0,7,3,0,4,16,418,10,4,37,0,2,5
Thalictrum_thalictroides,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,9,0,0,0,0,1,0,130,2,0,8,0,0,0
Cardamine_angustata_angustata,2,7,0,1,2,0,2,16,0,4,0,0,0,0,0,0,2,1,0,2,1,5,5,1,3,0,0,0,0,1,0,0,1,2,0,1,0,79,4,0,2,2,0,2
Stellaria_pubera,0,2,0,0,3,0,8,6,1,0,0,0,2,0,1,3,4,5,1,44,0,0,0,0,3,0,3,0,0,0,0,3,7,0,0,3,0,122,1,3,4,0,0,0
Viola_papilionacea,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,17,0,0,0,0,0,0
Uvularia_sessilifolia,0,0,0,0,0,0,0,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiarella_cordifolia_collina,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,18,0,0,0,0,1,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0
Podophyllum_peltatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trillium_catesbei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesculus_sylvatica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
