,Agrius_cingulatus,Amblycerus_piurae,Ammophorus_sp.,Atteva_hysginiella,Beetles_,Camponotus_planus,Cardiocondyla_nuda,Catterpillar_,Chrysopa_sp.,Cricket_,Damsel_bug_nymph_,Darwinysius_marginalis,Disclisioprocta_stellata,Enyo_lugubris_delanoi,Euchromius_ocellus,Frankliniella_sp.,Goniozus_sp.,Green_winged_hemerobiid_,Hawk_moth_Sphing.,Heliothis_cystiphora,Hypasclera_collenettei,Hypasclera_sp.,"Leaf_bug_(Hem.,_Miridae)_",Leafhopper_(Cicadellidae)_,Lepidanthrax_tinctus,Leptotes_parrhasioides,Manduca_rustica,Melipotis_indomita,Metacanthus_galapagensis,Monomorium_floricola,Mordellistena_galapagensis,Gelechioidea_Moth,Pyralidae_Moth,Tortricidae_Moth,Mythenteles_sp.,Naucles_sp.,Olcella_sp.,Ornebius_erraticus,Orthoperus_sp.,Oxacis_sp.,Paratrechina_longicornis,Paratrechina_vaga,Perepitragus_fascipes,Phoebis_sennae,Pseudoplusia_includens,Rhinacloa_sp.,Short-horned_grasshopper_nymph_,Tapinoma_melanocephalum,Tetramorium_guineense,Toxomerus_crockeri,Urbanus_dorantes,Utetheisa_galapagensis,Wasmannia_auropunctata,Xylocopa_darwini
Justicia_galapagana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1
Tetramerium_nervosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sesuvium_portulacastrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Catharanthus_roseus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vallesia_glabra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ageratum_conyzoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bidens_pilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Darwiniothamnus_tenuifolius,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Encelia_hispida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaegeria_gracilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
