,Azorina vidalii,Crithmum maritimum,Leucanthemum vulgare,Daucus carota,Lotus corniculatus,Silene vulgaris,Solidago sempervirens,Freesia,Reseada luteola,Beta maritima
Solitary bee,1,0,1,1,0,1,1,0,1,0
Muscidae sp.,1,1,1,1,0,0,0,0,0,0
Large ant,1,1,0,0,0,1,0,0,0,1
Apis mellifera,1,0,0,0,1,0,0,0,1,0
Bombus,1,0,0,0,1,0,0,1,0,0
Yellow butterfly,1,0,0,0,1,0,0,1,0,0
Lucilia sp.,0,1,0,1,0,0,0,0,0,0
Black-brown Muscidae sp.,0,0,1,0,0,0,0,0,0,0
Calliphora sp.,1,0,0,0,0,0,0,0,0,0
Small syrphid,0,1,0,0,0,0,0,0,0,0
Small ant,1,0,0,0,0,0,0,0,0,0
moth,0,0,0,0,0,0,1,0,0,0
