,Halictinae_sp,Bombus_canariensis,Anthophora_alluaudi,Vanessa_indica_ssp._vulcanica,Apis_mellifera,Macroglossum_stellatarum,Eristalis_tenax,Artogeia_rapae,Cyclyrius_webbianus,Tachina_canariensis,Lasioglossum_chalcodes,Lasioglossum_loetum,Thyreus_histrionicus,Gonepteryx_cleopatra,Lycaena_phlaeas,Maniola_jurtina,Pararge_xiphioides,Pontia_daplidice,Anaspis_proteus,Attalus_sp.,Bruchidius_wollastoni,Halictus_sp.,Pandoriana_pandora,Delia_platura,Empis_sp.,Meliscaeva_auricollis,Acmaeodera_cisti,Aleocharinae_sp.,Brachypterus_sp.,Mordella_israelsoni,Andrena_sp,Ichneumoidae_sp,Podalonia_tydei,Sphecodes_marginatus,Sphecodes_ruficrus,Aricia_cramera,Cleora_fortunata,Colias_crocea,Cornutiplusia_circumflexa,Lampides_boeticus,Vanessa_atalanta,Vanessa_cardui,Bibio_elmoi,Chrysotoxum_triarcuatum,Dasyphora_albofasciata,Drosophila_sp.,Heringia_adpropinquans,Myotropa_florea,Pseudogonia_fasciata,Sapromyza_sp,Sciaridae_sp,Siphona_sp.,Thaumatomyia_notata,Tricimba_humeralis,Piezodorus_punctipes
Cedronella_canariensis*,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Galactites_tomentosa*,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anacyclus_radiatus,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Andryala_pinnatifida,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geranium_canariense,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Laurus_azorica,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Senecio_steetzii,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonchus_cf._ortunoi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
Echium_plantagineum*,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus_monspeliensis*,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
