,Asclepias cucullata,Asclepias woodii,Aspidonepsis diploglossa,Miraglossum verticillare,Miraglossum pilosum,Pachycarpus natalensis,Sisyranthus trichostomus,Xysmalobium gerrardii,Xysmalobium involucratum
Hemipepsis hilaris,0,0,0,1,1,1,1,1,1
Pompilidae sp. 2 ,0,0,0,0,0,0,0,1,0
Tiphia sp.,0,1,0,0,0,0,0,0,0
Arge sp.,0,0,0,0,0,0,1,0,0
Apis mellifera,0,0,1,0,0,0,1,1,0
Halictidae sp. 1 ,0,0,1,0,0,0,0,0,0
Halictidae sp. 2 ,1,0,0,0,0,0,0,0,0
Other wasps ,0,1,1,0,0,0,0,1,1
Other bees ,0,0,0,0,0,0,0,1,1
Other solitary bees ,0,1,1,0,0,1,0,0,0
Atrichelaphinis tigrina,0,1,0,1,0,0,1,1,1
Cyrtothyrea marginalis,0,1,0,1,0,0,1,1,0
Lycidae sp. ,0,0,0,0,0,0,0,1,0
Cantharidae sp.  ,0,0,0,0,0,0,0,1,0
Elateridae sp. ,0,0,0,0,0,0,0,0,1
Chrysomelidae sp. 1 ,0,0,0,0,0,1,0,0,1
Chrysomelidae sp. 2 ,0,0,0,0,0,0,1,1,1
Scarabaeinae sp. 1 ,0,0,0,0,0,0,0,1,0
Scarabaeinae sp. 2 ,0,0,0,0,0,0,0,1,1
Scarabaeinae sp. 3 ,0,0,0,0,0,0,0,1,0
Curculionidae sp. 1 ,0,0,0,0,0,0,1,1,1
Curculionidae sp. 2 ,0,1,0,0,0,0,0,0,0
Coleoptera sp. 3 ,0,0,0,0,0,0,0,1,0
Coleoptera sp. 8 ,0,0,0,0,0,0,1,0,0
Other Coleoptera ,0,0,0,0,0,0,0,1,1
Aspilocoryphus fasciativentris,1,0,0,1,0,1,1,1,1
Lygaeidae sp. 2 ,0,0,0,1,0,1,0,1,1
Coreidae sp. ,0,0,0,0,0,0,0,1,0
Spilostethus rivularis,0,0,0,0,0,1,0,0,0
Homoecerus annulatus,0,0,0,0,0,1,0,0,0
Pentatomoidea sp. ,0,0,0,0,0,0,0,1,0
Other Heteroptera  ,0,0,0,0,0,0,0,1,0
Calliphoridae genus 1 ,0,0,0,0,0,0,0,1,0
Calliphoridae genus 2 ,0,0,0,0,0,0,1,1,0
Calliphoridae genus  3 ,0,0,0,0,0,0,0,1,0
Sarcophaga sp. ,0,1,0,1,0,1,0,1,1
Musca domestica,0,0,1,0,0,0,0,1,0
Muscidae genus 2 ,0,0,1,0,0,0,0,0,0
Empididae sp. 1 ,1,0,0,0,0,1,0,0,0
Empididae sp. 2 ,0,0,0,0,0,0,0,1,0
Chloropidae ,0,0,1,0,0,0,0,1,0
Microphthalma sp. 1,0,0,0,0,0,1,0,0,0
Microphthalma sp. 2,0,0,0,0,0,0,0,1,0
Tachinidae subfamily Goniinae ,0,0,0,0,0,0,0,1,0
Tachinidae genus 2 ,0,0,0,0,0,0,0,1,0
Actea sp.,0,0,0,0,0,0,0,1,0
Sepsidae sp. 1 ,0,0,0,0,0,0,0,1,1
Sepsidae sp. 2 ,0,0,0,0,0,0,0,0,1
Sepsidae sp. 3 ,0,0,0,1,0,0,0,0,0
Dacus sp.,0,0,0,0,0,1,0,0,0
Bibionidae ,0,0,0,0,0,0,0,1,0
Diptera sp. 3 ,0,0,0,0,0,0,1,0,0
Diptera sp. 22 ,0,0,0,0,0,1,0,0,0
Other Diptera ,0,1,0,1,0,1,0,1,0
Unidentified butterfly ,0,0,0,0,0,0,1,0,0
Unidentified micromoth ,1,0,0,0,0,0,0,0,0
