,Formicidae_black_ant_3sp.,Apis_mellifera,Thysanoptera_sp.,Dielis_dorsata,Formicidae_brown_ant_2sp.,Papilio_polydamas,Mellisuga_humilis,Trochilus_polytmus,Junonia_spp.,Eristalis_vinatorum,Polygonus_leo,Anthophorid,Exomalopsis_sp.,Euglossa_cordata,Oncopeltus_piltus,Coereba_flaveola,Agraulis_vanillae,Anartia_jatrophae,Danaus_gilippus,Eurema,Leptotes_cassius,Phoebis_sennae,Urbanus_proteus,Microbembex_monadonta,Unidentified_green_beetle,Ascia_josephina,Strymon_columella,Centris_dirrhoda,Centris_sp.,Unidentified_beetle,Danaus_eresimus,Hylephila_phyleus,Xylocopa_sp.,Unidentified_Wasp,Culex_sp,Unidentified_fly
Spilanthes_urens,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Stachytarpheta_jamaicensis,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Cordia_globosa,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Morinda_royoc,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Piscidia_piscipula,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borreria_laevis,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordia_gerascanthus,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium_odoratum,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Blechum_pyramidatum,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauhinia_divaricata,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
