,Thymus_capitatus,Chrysanthemum_coronarium,Chamomilla_recutita,Hypochoeris_achyrophorus,Thapsia_garganica,Sisymbrium_orientale,Echium_angustifolium,Calendula_arvensis,Asphodelus_aestivus,Cardaria_draba,Scandix_australis,Hypericum_triquetrifolium,Euphorbia_acanthothamnos,Heliotropium_hirsutissimum,Thymelaea_hirsuta,Heliotropium_dolosum,Cistus_parviflorus,Centaurea_orphanidea,Reseda_alba,Heliotropium_europaeum,Scabiosa_atropurpurea,Tordylium_apulum,Echinops_microcephalus,Cistus_salvifolius,Scorzonera_cana,Ornithogalum_exscapum,Erodium_malacoides,Helichrysum_stoechas,Fumana_thymifolia,Satureja_thymbra,Teucrium_polium,Convolvulus_althaeoides,Crupina_crupinastrum,Phagnalon_graecum,Ecballium_elaterium,Hirshfeldia_incana,Convolvulus_cantabrica,Stachys_cretica,Ballota_acetabulosa,Gagea_granatelli,Nigella_arvensis,Ranunculus_spruneranus,Urginea_maritima,Eryngium_campestre,Scilla_autumnalis,Papaver_rhoeas,Erodium_cicutarium,Convolvulus_arvensis,Salvia_verbenaca,Carduus_pycnocephalus,Sherardia_arvensis,Alkanna_tinctoria,Senecio_vulgaris,Anemone_coronaria,Geranium_rotundifolium,Anchusa_undulata,Salvia_triloba,Capparis_ovata,Biscutella_didyma,Cyclamen_graecum,Osyris_alba,Verbascum_undulatum,Bellis_annua,Scorzonera_lanata,Muscari_comosum,Muscari_neglectum,Erica_manipuliflora,Hypericum_empetrifolium,Prasium_majus,Taraxacum_officinale,Medicago_lupulina,Daucus_guttatus,Plantago_lagopus,Dittrichia_graveolens,Allium_subhirsutum,Muscari_commutatum,Crocus_cancellatus,Eruca_vesicaria,Chondrilla_junea,Pallenis_spinosa,Reichardia_picroides,Delphiniun_peregrinum,Trifolium_stellatum,Fumana_arabica,Phlomis_fructicosa,Scolymus_hispanicus,Crocus_laevigatus,Anemone_pavonina,Ononis_ornithopioides,Chondrilla_ramosissima,Tragopogon_porrifolius,Allium_neapolitanum,Sternbergia_lutea,Ophrys_lutea,Ophrys_sphegodes,Ophrys_tenthredinifera,Petrorhagia_velutina,Capsella_bursa-pastoris,Malcomia_chia,Scaligera_cretica,Lamium_amplexicaule,Globularia_alypum,Tremastelma_palestinum,Malva_sylvestris,Ebenus_sibthorpii,Ruta_graveolens,Bellardia_trixago,Silene_colorata,Anagallis_arvensis,Lathyrus_cicera,Thymelaea_tartonraira,Veronica_persica,Pterocephalus_papposus,Anthyllis_hermanniae,Trifolium_repens,Astragalus_monspessulanus,Psoralea_bituminosa,Oxalis_pes-caprae,Acanthus_spinosus,Asparagus_acutifolius,Campanula_drabifolia,Centaurea_raphanina,Iris_pumila,Fumana_amarysia,Alcea_pallida,Arisarum_vulgare,Fritillaria_graeca,Hymenocarpos_circinnatus,Anchusa_variegata,Sarcopoterium_spinosum,linum_strictum
Apis_mel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0
Metasyrphus_cor,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasioglossum_mal,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episyrphus_bal,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucera_cly,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodanthidium_sep,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eucera_bid,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dasytes__str,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pieris_bra,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Syritta_pip,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
