,Amazilia_fibriata,Amazilia_tovasi,Cyclocephala_gravis,Phaenica_sp.,Euhibus_sp.,Chrysagria_duodecimpuntata,Helicobia_morionella,Oxyssarcodexia_peltata,Sarcophagula_occidua,Ornidia_obesa,Palpada_pusio,Toxomerus_floralis,Toxomerus_marginatus,Tabanus_sp,Ceratina_sp.,Exomalopsis_sp.,Xylocopa_fibriata,Apis_mellifera,Euglossa_cordata,Eulaema_nigrita,Melipona_favosa,Trigona_angustula,Augochlora_sp.,Augochlora_sp._3,Augochlorensis_callichroa,Auhochloropsis_vesta,Augochloropsis_sp.,Dialictus_sp.,Dialictus_sp._7,Pereirapis_sp._2,Anthidiellum_sp.,Athidium_sp.,Megachile_sp.,Pepsis_sp.,Campsomeris_dorsata,Cerceris_sp.,Extemnius_sp.,Sphex_melanopus,Eumenes_sp.,Omicrom_ruficolle,Pachodunerus_brevithorax,Parancistrocerus_sp.,Polistes_subsericeus,Polybia_ignobilis,Polybia_occidentalis,Cogia_calchas,Heliopetes_arsalte,Pompeius_amblyspoila,Pyrgus_oileus_orcus,Urbanus_dorantes,Urbanus_simplicius,Junonia_evarete,Eurema_nise
Saggitaria_quyanensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montricharida_arborescens,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhynchospora_barbata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhynchospora_velutina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synqonanthus_caulescens,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caperonia_pallustris,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Croton_hirtus,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shultesia_brachyptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sinningia_sp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyptis_conferta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
