ID	Interaction	Locality	Web	Source
arr1	pollination	Cordon del Cepo, Chile		Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.
arr2	pollination	Cordon del Cepo, Chile		Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.
arr3	pollination	Cordon del Cepo, Chile		Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.
bahe	pollination	Central New Brunswick, Canada	http://www.nceas.ucsb.edu/interactionweb/index.html	Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.
bair	frugivory	Princeton, Mercer, New Jersey, USA		Baird, J.W. 1980. The selection and use of fruit by birds in an eastern forest. Wilson Bulletin 92: 63-73.
beeh	frugivory	Mount Missim, 9 km N-NE Wau, Morobe Prov., New Guinea		Beehler, B. 1983. Frugivory and polygamy in birds of paradise. Auk, 100: 1-12.
cacg	frugivory	Caguana, Puerto Rico		Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131
caci	frugivory	Cialitos, Puerto Rico		Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131
caco	frugivory	Cordillera, Puerto Rico		Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131
cafr	frugivory	Fronton, Puerto Rico		Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131
cllo	pollination	Pikes Peak, Colorado, USA	http://www.nceas.ucsb.edu/interactionweb/index.html	Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.
crom	frugivory	Tropical rainforest. Queensland, Australia.		Crome, F.H.J. 1975. The ecology of fruit pigeons in tropical Northern Queensland. Australian Journal of Wildlife Research, 2: 155-185.
dihi	pollination	Hickling, Norfolk, UK		Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43
dish	pollination	Shelfanger, Norfolk, UK		Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43
dupo	pollination	Tenerife, Canary Islands		Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310 
eol	pollination	Latnjajaure, Abisko, Sweden		Elberling, H., and J. M. Olesen. 1999. The structure of a high latitude plant-flower visitor system: the dominance of flies. Ecography 22:314-323.
eolz	pollination	Zackenberg		Elberling & Olesen unpubl.
eski	pollination	Mauritius Island		Eskildsen et al. unpubl.
fros	frugivory	Mtunzini, South Africa		Frost, P.G.H. 1980. Fruit-frugivore interactions in a South African coastal dune forest. Pages 1179-1184 in: R. Noring (ed.). Acta XVII Congresus Internationalis Ornithologici, Deutsches Ornithologische Gessenshaft, Berlin.
gen1	frugivory	Santa Genebra Reserve T1. SE Brazil		Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.
gen2	frugivory	Santa Genebra Reserve T2. SE Brazil		Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.
hamm	frugivory	North Negros Forest Reserve, Central Philippine Islands		Hammann, A. & Curio, B. (1999) Interactions among frugivores and fleshy fruit trees in a Philippine submontane rainforest
herr	pollination	Donana National Park, Spain		Herrera, J. (1988) Pollination relatioships in southern spanish mediterranean shrublands. Journal of Ecology 76: 274-287.
hock	pollination	Hazen Camp, Ellesmere Island, Canada		Hocking, B. 1968. Insect-flower associations in the high Arctic with special reference to nectar. Oikos 19:359-388.
hrat	frugivory	Hato Raton, Seville, Spain		Jordano P. (1985) El ciclo anual de los paseriformes frugívoros en el matorral mediterráneo del sur de España: importancia de su invernada y variaciones interanuales. Ardeola, 32, 69-94.
inpk	pollination	Snowy Mountains, Australia	http://www.nceas.ucsb.edu/interactionweb/index.html	Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210.
kant	frugivory	Campeche state, Mexico		Kantak, G.E. 1979. Observations on some fruit-eating birds in Mexico. Auk, 96: 183-186.
kevn	pollination	Hazen Camp, Ellesmere Island, Canada		Kevan P. G. 1970. High Arctic insect-flower relations: The interrelationships of arthropods and flowers at Lake Hazen, Ellesmere Island, Northwest Territories, Canada. Ph.D. thesis, University of Alberta, Edmonton, 399 pp.
kt90	pollination	Ashu, Kyoto, Japan		"Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower
relationship in the primary beech forest of Ashu, Kyoto: An overview of
the flowering phenology and the seasonal pattern of insect visits.
Contrib. Biol. Lab., Kyoto, Univ., 27, 309-375."
lamb	frugivory	Kuala Lompat, Krau Game Reserve.		Lambert F. (1989) Fig-eating by birds in a Malaysian lowland rain forest. J. Trop. Ecol., 5, 401-412.
lope	frugivory	Gabon, Africa		Tutin, C.E.G., Ham, R.M., White, L.J.T., Harrison, M.J.S. 1997. The primate community of the Lopé Reserve, Gabon: diets, responses to fruit scarcity, and effects on biomass. American Journal of Primatology, 42: 1-24.
mack	frugivory	Crater Mountain Biological Research Station, Chimbu Province, Papua New Guinea		Mack, AL and Wright, DD. (1996) Notes on occurrence and feeding of birds at Crater Mountain Biological Research Station, Papua New Guinea. Emu 96: 89-101. 
med1	pollination	Laguna Diamante, Mendoza, Argentina		Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.
med2	pollination	Rio Blanco, Mendoza, Argentina		Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.
memm	pollination	Bristol, England		Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.
moma	pollination	Melville Island, Canada	http://www.nceas.ucsb.edu/interactionweb/index.html	Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
mont	frugivory	Monteverde, Costa Rica 		Wheelwright, N.T., Haber, W.A., Murray, K.G., Guindon, C. 1984. Tropical fruit-eating birds and their food plants: a survey of a Costa Rican lower montane forest. Biotropica, 16: 173-192.
mott	pollination	North Carolina, USA	http://www.nceas.ucsb.edu/interactionweb/index.html	Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.
mull	pollination	Galapagos	http://www.nceas.ucsb.edu/interactionweb/index.html	McMullen 1993
ncor	frugivory	Nava Correhuelas. S. Cazorla, SE Spain.		P. Jordano, unpubl.
nnog	frugivory	Nava Noguera, Sierra de Cazorla, SE Spain		P. Jordano, unpubl.
oflo	pollination	Flores, Aores		Olesen unpubl.
ofst	pollination	Hestehaven, Denmark		Olesen unpubl.
olau	pollination	Garajonay, Gomera, Spain		Olesen unpubl.
olle	pollination	KwaZulu-Natal region, South Africa		Ollerton, J., S. D. Johnson, L. Cranmer, and S. Kellie. 2003. The pollination ecology of an assemblage of grassland asclepiads in South Africa. Annals of Botany 92:807-834.
perc	pollination	Jamaica		"Percival, M. (1974). Floral ecology of coastal scrub in sotheast
Jamaica. Biotropica, 6, 104-129."
prap	pollination	Arthur's Pass, New Zealand		"Primack, R.B. (1983). Insect pollination in the New Zealand mountain
flora. New Zealand J. Bot. 21, 317-333, AB."
prca	pollination	Cass, New Zealand		"Primack, R.B. (1983). Insect pollination in the New Zealand mountain
flora. New Zealand J. Bot. 21, 317-333. Cass"
prcg	pollination	Craigieburn, New Zealand		"Primack, R.B. (1983). Insect pollination in the New Zealand mountain
flora. New Zealand J. Bot. 21, 317-333. Craigieb."
ptnd	pollination	Daphne, Athens, Greece		"Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp.
PhD. Thesis, Aristotelian University, Thessaloniki."
rabr	pollination	Guarico State, Venezuela		Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
rmrz	pollination	Canaima Nat. Park, Venezuela		"Ramirez, N. (1989). Biología de polinización en una comunidad arbustiva
tropical de la alta Guyana Venezolana. Biotropica 21, 319-330."
sapf	frugivory	Yakushima Island, Japan		Noma, N. 1997. Annual fluctuations of sapfruits production and synchronization within and inter species in a warm temperate forest on Yakushima Island, Japan. Tropics, 6: 441-449.
schm	pollination	Brownfield, Illinois, USA		Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.
smal	pollination	Ottawa, Canada	http://www.nceas.ucsb.edu/interactionweb/index.html	Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28. 
smra	pollination	Chiloe, Chile		"Smith-Ramírez C., P. Martinez, M. Nuñez, C. González and J. J. Armesto (2005) Diversity, flower visitation frequency and generalism of
pollinators in temperate rain forests of Chiloé Island,Chile. Botanical Journal of the Linnean Society, 2005, 147, 399–416."
snow	frugivory	Tropical rainforest. Trinidad.		Snow, B.K., Snow, D.W. 1971. The feeding ecology of tanagers and honeycreepers in Trinidad. Auk, 88: 291-322.
wes	frugivory	Intervales and Saibadela, São Paulo, Brazil		Silva, W.R., P. De Marco, E. Hasui, and V.S.M. Gomes (2002) Patterns of fruit-frugivores interactions in two Atlantic Forest bird communities of South-eastern Brazil: implications for conservation. Pp. 423-435. In: D.J. Levey, W.R. Silva and M. Galetti (eds.) Seed dispersal and frugivory: ecology, evolution and conservation. Wallinford: CAB International.
wyth	frugivory	Great Britain		Snow B.K. & Snow D.W. (1988) Birds and berries, Calton, England.
