,Zosterops_japonica,Ficedula_narcissina,Turdus_chrysolaus,Turdus_pallidus,Columba_janthina,Sphenurus_formosae,Hypsipetes_amaurotis,Turdus_dauma
Ilex_goshiensis,0,0,0,0,0,0,0,0
Symplocos_prunifolia,1,1,1,1,0,2,2,0
eurya_japonica,2,0,0,1,0,2,2,0
Myrsine_sguinii,2,0,0,2,0,0,2,0
Ilex_rotunda,0,0,0,0,0,0,0,0
Taxillus_yadoriki,0,0,0,0,0,0,1,0
Lonicera_affinis,0,0,0,0,0,0,0,0
Schefflera_octophylla,1,0,0,2,2,0,2,0
Psychotria_serpens,0,0,0,0,0,0,0,0
Cleyera_japonica,1,0,0,2,1,1,1,1
Vaccinium_bracteatum,0,0,0,3,0,0,0,0
Ardisia_sieboldii,0,0,0,2,0,0,1,0
Kadsura_japonica,0,0,0,0,0,0,0,0
Syzygium_buxifolium,0,0,0,0,0,0,0,0
Rhaphiolepis_indica,0,0,0,0,0,0,0,0
Elaeocarpus_japonica,0,0,0,0,0,0,0,0
Elaeocarpus_sylvestris,0,0,0,0,0,0,0,0
Prunus_jamasakura,0,0,0,0,0,0,1,0
Daphniphyllum_teijsmannii,0,0,2,0,1,0,2,0
Morinda_umbellata,0,0,0,0,0,0,0,0
Neolitsea_aciculata,0,0,0,0,0,0,2,0
Neolitsea_sericea,0,0,0,0,0,0,0,0
Persea_thunbergii,0,0,0,0,0,0,2,0
Litsea_acuminata,0,0,0,0,0,0,3,0
Myrica_rubra,0,0,0,0,1,2,1,0
Actinidia_arguta,0,0,0,0,0,0,0,0
Diospyros_morrisiana,0,0,0,0,0,1,0,0
