,Claytonia,Isopyrum,Dentaria,Erythronium,Dicentra_cu,Sanguinaria,Dicentra_ca
Apis_mellifera,1,1,1,1,1,1,0
Andrena_carlini,1,1,1,1,0,0,0
Andrena_irgeniae,1,1,1,1,0,0,0
Bombus_griseocollis,1,0,1,0,1,0,1
Andrena_forbesii,1,1,0,1,0,0,0
Andrena_mansonii,1,1,0,1,0,0,0
Andrena_rugosa,1,1,1,0,0,0,0
Helophilus_fasciatus,1,1,1,0,0,0,0
Melanostoma_sp.,1,1,1,0,0,0,0
Metasyrphus_americanus,1,1,0,0,0,1,0
Syrphus_torvus,1,1,1,0,0,0,0
Andrena_cressoni,1,1,0,0,0,0,0
Andrena_miserabilis,1,1,0,0,0,0,0
Eristalis_dimidiatus,1,0,1,0,0,0,0
Syrphus_sp.,1,0,1,0,0,0,0
Andrena_erythronii,0,0,0,1,0,0,0
Andrena_personata,0,1,0,0,0,0,0
Andrena_sp.,1,0,0,0,0,0,0
Ceratina_metallica,1,0,0,0,0,0,0
Nomada_luteola,1,0,0,0,0,0,0
Augochlora_pura,0,1,0,0,0,0,0
Augochlorella_striata,0,1,0,0,0,0,0
Dialictus_coeruleus,1,0,0,0,0,0,0
Dialictus_oblongus,0,1,0,0,0,0,0
Dialictus_obscurus,1,0,0,0,0,0,0
Dialictus_imitatus,0,1,0,0,0,0,0
Dialictus_zephyrus,0,1,0,0,0,0,0
Erylaeus_macroupinensis,0,1,0,0,0,0,0
Halictus_confusus,0,0,1,0,0,0,0
Lasioglossum_forbesii,1,0,0,0,0,0,0
Carposcalis_obscura,1,0,0,0,0,0,0
Mesograpta_marginata,1,0,0,0,0,0,0
Xylota_nemorum,0,1,0,0,0,0,0
