,Adela_purpurea,Thymelicus_lineola,Macrodactlyus_subspinosus,Cyphon_variabilis,Hybomitra_minuscula,Hybomitra_typhus,Dilophus_caurinus,Spilogona_fatima,Shaerophoria_sp.,Pyrophaena_rosarum,Melanostoma_sp.,Sercomyia_transversa,Eristalis_dimidiata,Helophilus_latifrons,Helophilus_fasciatus,Helophilus_laetus,Syritta_pipiens,Toxomerus_marginatus,Syrphus_torvus,Apis_mellifera,Bombus_terricola,Pyrobombus_impatiens,Pyrobombus_perplexus,Pyrobombus_sandersoni,Pyrobombus_ternarius,Andrena_alleghaniensis,Andrena_bradleyi,Andrena_carlini,Andrena_carolina,Andrena_mandibularis,Andrena_regularis,Andrena_vicina,Colletes_inaequalis,Dialictus_pilosus
Salix_fragilis,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
Chamaedaphne_calyculata,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0
Nemopanthus_mucronata,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1
Andromeda_glaucophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Kalmia_polifolia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1
Smilacina_trifolia,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium_myrtilloides,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Aronia_melanocarpa,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
Ledum_groenlandicum,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
Gaylussacia_baccata,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0
Kalmia_angustifolia,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Calopogon_pulchellus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiraea_alba,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
