,Tangara_guttata,Tangara_gyrola,Tangara_mexicana,Thraupis_episcopus,Thraupis_palmarum,Ramphocelus_carbo,Tachyphonus_rufus,Tachyphonus_luctuosus,Euphonia_violacea,Cyanerpes_caeruleus,Cyanerpes_cyaneus,Chlorophanes_spiza,Dacnis_cayana,Coereba_flaveola
Laetia_procera,0,0,8,1,3,5,1,0,0,0,0,0,7,0
Clusia_spp.,0,0,0,0,0,0,0,0,0,14,1,3,2,0
Sloanea_stipilata,1,7,0,1,1,2,4,1,0,0,4,0,2,2
Byrsonima_spicata,0,10,0,0,0,0,0,0,0,0,0,0,1,0
Protium_heptaphyllum,0,6,13,9,12,2,9,1,5,0,0,4,4,0
Cupania_sp.,0,0,0,0,0,0,0,0,0,0,8,0,0,1
Ilex_sp.,0,3,20,0,0,1,0,0,0,0,0,0,0,0
Calycolpus_glaber,0,0,1,2,2,2,0,0,0,0,0,0,1,1
Eugenia_baileyi,0,0,3,1,3,0,0,0,0,0,0,0,0,0
Myrcia_leptoclada,0,11,0,0,0,0,0,0,1,0,0,0,0,0
Myrcia_sp.,1,0,3,0,0,0,0,0,0,2,0,0,0,0
Psidium_guajava,0,0,3,0,0,4,0,0,0,0,0,0,0,0
Clidemia_spp.,0,2,0,0,0,27,9,0,3,0,0,0,0,0
Henriettea_sp.,0,1,0,0,0,2,2,0,0,0,0,0,0,0
Miconia_spp.,40,127,74,17,35,153,23,5,17,11,20,80,52,12
Didymopanax_morototoni,0,13,1,33,49,5,0,0,0,0,0,2,4,1
Chiococca_alba,0,1,15,0,0,0,0,0,1,0,0,3,0,0
Coussarea_paniculata,0,0,0,6,2,5,4,0,1,0,0,0,0,0
Isertia_parviflora,0,0,0,0,0,2,3,0,0,0,0,0,0,0
Psychotria_spp.,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Cordia_curassavica,0,0,7,2,0,18,1,0,0,0,0,0,0,1
Cordia_bicolor,0,5,3,5,5,0,4,0,0,0,0,0,0,5
Aegiphilia_integrifolia,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Alchornea_glandulosa,9,13,0,1,14,0,0,0,0,11,0,13,16,0
Hieronyma_caribaea,4,14,3,0,0,0,1,0,0,1,0,5,4,1
Sapium_aucuparium,2,1,0,0,0,0,0,0,0,1,3,2,12,8
Trema_micrantha,12,39,11,2,1,1,3,0,29,27,11,34,13,3
Piper_sp.,0,0,0,10,0,0,0,0,9,0,0,0,0,0
Castilloa_elastica,0,0,0,5,0,1,0,0,0,0,0,0,0,0
Cecropia_peltata,3,72,31,26,18,17,18,0,0,0,0,5,3,4
Ficus_citrifolia,0,15,4,0,0,0,2,0,3,0,0,0,0,0
Ficus_clusiifolia,2,48,17,8,11,0,3,0,7,3,5,12,1,8
Ficus_tobagensis,0,4,2,0,0,3,0,0,3,0,0,1,0,0
Davilla_aspera,0,0,0,0,1,5,1,0,0,0,0,0,0,0
Doliocarpus_dentatus,0,0,0,3,3,0,0,0,0,0,5,0,1,0
Lacistema_aggregatum,0,3,5,1,2,1,0,0,0,0,0,1,2,0
Norantea_guianensis,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Rourea_surinamensis,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Wulffia_baccata,0,1,0,0,0,2,0,0,0,4,0,0,2,0
Anthurium_gracile,0,0,0,0,0,1,4,0,4,0,0,0,0,0
Anthurium_scandens,0,0,0,0,0,0,3,4,19,0,0,0,0,0
Aechmaea_dichlamydea,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Aechmaea_mertensii,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Aechmaea_nudicaulis,0,0,0,0,0,0,7,0,38,0,0,0,0,0
Gravisia_aquilega,0,0,0,0,0,14,29,0,0,0,0,0,0,0
Unid.spp.,0,0,0,0,0,2,3,0,0,0,0,0,0,0
Rhipsalis_sp.,0,0,2,0,1,0,0,0,32,0,0,0,0,6
Div._spp.,0,2,10,0,0,0,3,0,29,3,0,6,2,1
Phytolacca_rivinoides,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Solanum_sp.,0,2,0,0,0,3,0,0,0,0,0,0,0,0
