,Chiroxiphia_caudata,Carpornis_cucullatus,Turdus_albicollis,Tachyphonus_coronatus,Turdus_rufiventris,Penelope_obscura,Trichothraupis_melanops,Thraupis_cyanoptera,Euphonia_pectoralis,Tangara_cyanocephala,Thraupis_ornata,Platycichla_flavipes,Selenidera_maculirostris,Baillonius_bailloni,Cacicus_haemorrhous,Philander_frenata,Stephanophorus_diadematus,Tityra_cayana,Lipaugus_lanioides,Sturnira_lilium,Tangara_desmaresti,Tangara_seledon,Mionectes_rufiventris,Myiodynastes_maculatus,Ramphastos_dicolorus,Schiffornis_virescens,Habia_rubica,Ilicura_militaris,Pipile_jacutinga,Saltator_similis,Trogon_surrucura,Trogon_viridis,Cerdocyon_thous,Cissopis_leveriana,Orthogonys_chloricterus,Carollia_perspicillata,Columba_plumbea,Hemithraupis_ruficapilla,Vireo_chivi,Cebus_apella,Dacnis_cayana,Trogon_rufus,Oxyruncus_cristatus,Myiarchus_swainsoni,Orchesticus_abeillei,Procnias_nudicollis,Thraupis_sayaca,Euphonia_violacea,Pyroderus_scutatus,Sturnira_tildae,Artibeus_fimbriatus,Celeus_flavescens,Elaenia_mesoleuca,Pyrrhura_frontalis,Alouatta_fusca,Artibeus_lituratus,Artibeus_sp,Brotogeris_tirica,Hylophilus_poicilotis,Megarynchus_pitangua,Melanerpes_flavifrons,Pachyramphus_validus,Atilla_rufus,Brachyteles_aracnoides,Didelphis_aurita,Elaenia_obscura,Tapirus_terrestris,Tyrannus_melancholicus,Baryphthengus_ruficapillus,Elaenia_flavogaster,Empidonomus_varius,Micoureus_demerarae,Pitangus_sulphuratus,Sciurus_aestuans_,Tachyphonus_cristatus,Tinamus_solitarius,Turdus_amaurochalinus,Turdus_leucomelas,Cacicus_chrysopterus,Haplospiza_unicolor,Mazama_sp,Mimus_saturninus,Pachyramphus_castaneus,Pitylus_fuliginosus,Tityra_inquisitor,Vampyressa_pusilla,Artibeus_jamaicensis,Artibeus_obscurus,Coereba_flaveola,Colaptes_campestris,Conopias_trivirgata,Eira_barbara,Forpus_xanthopterygius,Icterus_cayanensis,Laniisoma_elegans,Marmosops_paulensis,Myiopagis_caniceps,Neopelma_aurifrons,Odontophorus_capueira,Phibalura_flavirostris,Phyllomyias_fasciatus,Phylloscartes_oustaleti,Pionus_maximiliani,Platyrrhinus_lineatus,Platyrrhinus_sp,Pygoderma_bilabiatum,Tangara_peruviana,Triclaria_malachitacea,Turdus_subalaris,Veniliornis_spilogaster
Myrsine_coriacea,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_luschnatiana,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coussapoa_microcarpa,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrsine_lancifolia,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Cecropia_glaziovi,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cupania_vernalis,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Miconia_pusilliflora,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trema_micrantha,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Symplocos_glanduloso-marginata,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Miconia_budlejoides,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
