,Turdus_merula,Parus_palustris,Turdus_philomelos,Parus_caeruleus,Columba_palumbus,Turdus_iliacus,Sylvia_atricapilla,Erithacus_rubecula,Pyrrhula_pyrrhula,Turdus_pilaris,Parus_major,Sitta_europaea,Fringilla_coelebs,Aegithalos_caudatus
Sambucus_nigra,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Crataegus_monogyna,1,0,1,0,1,1,0,0,0,1,0,0,0,0
Rubus_sp.,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Bryonia_dioica,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Hedera_helix,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Euonymus_europaeus,1,1,0,0,0,0,0,1,0,0,0,0,0,1
Solanum_dulcamara,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Prunus_spinosa,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Rosa_sp.,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Lonicera_periclymenum,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tamus_communis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
