,guest_0,guest_1,guest_2,guest_3,guest_4,guest_5,guest_6,guest_7,guest_8,guest_9
host_0,0,0,1,1,1,1,1,1,1,0
host_1,1,0,1,0,1,1,0,0,0,0
host_2,1,0,0,0,0,0,1,1,1,1
host_3,0,1,1,0,0,0,0,1,1,1
host_4,0,0,0,0,0,0,0,1,0,0
host_5,0,1,1,0,0,1,0,1,0,1
host_6,1,1,1,0,0,1,0,0,0,0
host_7,0,0,0,1,1,0,1,0,1,1
host_8,0,0,1,0,0,0,1,0,0,1
host_9,0,0,1,0,0,0,0,0,0,1
host_10,1,0,1,1,1,0,0,0,0,1
host_11,0,1,1,1,1,0,0,0,0,0
host_12,0,0,0,0,1,0,0,1,0,1
host_13,0,0,1,0,0,0,1,0,0,0
host_14,0,1,0,1,1,1,1,1,0,1
host_15,1,1,1,0,0,0,1,1,0,0
host_16,0,0,0,0,0,0,0,0,0,0
host_17,1,0,1,0,1,1,1,1,0,0
host_18,0,0,0,1,0,1,0,1,0,0
host_19,0,0,0,0,0,1,1,0,1,0
