,host_0,host_1,host_2,host_3,host_4,host_5,host_6,host_7,host_8,host_9,host_10,host_11,host_12,host_13,host_14,host_15,host_16,host_17
guest_0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
guest_1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
guest_2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
guest_3,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
guest_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
guest_5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
guest_6,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
guest_7,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0
guest_8,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
guest_9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
guest_10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
guest_11,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
guest_12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_13,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
guest_14,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
guest_15,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
guest_16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
guest_17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
guest_18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
guest_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
guest_20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
guest_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_22,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
guest_23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guest_24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
guest_25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
guest_26,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0
guest_27,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
guest_28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guest_29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
guest_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_31,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
guest_32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
guest_33,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
guest_34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
guest_35,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
guest_36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
guest_37,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
guest_38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_39,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
guest_40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
guest_41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
guest_42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guest_43,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
guest_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
guest_45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
guest_46,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
guest_47,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guest_48,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
guest_49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
guest_50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guest_51,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
guest_52,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
guest_53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
guest_54,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
guest_55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
guest_56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guest_57,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
guest_58,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
guest_59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
guest_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_61,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
guest_62,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
guest_63,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
guest_64,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
guest_65,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
guest_66,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
guest_67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guest_68,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
guest_69,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
guest_70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guest_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_72,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
guest_73,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
guest_74,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
guest_75,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
guest_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_77,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
guest_78,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
guest_79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guest_80,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
guest_81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
guest_82,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
guest_83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
guest_84,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
guest_85,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
guest_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_87,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guest_88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_89,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
guest_90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guest_91,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
guest_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guest_93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
guest_94,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
guest_95,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guest_96,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
guest_97,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
guest_98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guest_99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
guest_100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
guest_101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guest_102,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
guest_103,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
guest_104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
guest_106,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_107,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
guest_108,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
guest_110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
guest_111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
guest_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guest_113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
guest_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guest_115,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
guest_116,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
guest_117,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
guest_118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
guest_119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_121,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
guest_122,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
guest_123,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
guest_124,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
guest_125,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
guest_126,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
guest_127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guest_128,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
guest_129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guest_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guest_131,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
guest_132,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
guest_133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guest_134,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
guest_135,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
guest_136,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
guest_137,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
guest_138,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
guest_139,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
guest_140,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
guest_141,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
