,host_0,host_1,host_2,host_3,host_4,host_5,host_6,host_7,host_8,host_9,host_10,host_11
guest_0,0,0,0,0,0,1,0,1,0,0,0,0
guest_1,0,0,1,0,0,0,0,0,0,0,0,0
guest_2,0,0,0,0,0,0,0,0,0,0,0,0
guest_3,0,0,0,0,0,0,0,0,1,0,1,0
guest_4,0,0,0,0,0,0,0,0,0,0,0,1
guest_5,0,0,0,0,0,0,0,0,0,0,0,0
guest_6,0,0,0,0,0,0,0,0,0,0,0,0
guest_7,0,1,0,0,1,0,0,0,0,0,0,0
guest_8,0,0,0,0,1,0,0,0,0,0,1,1
guest_9,1,0,0,0,0,0,0,0,0,0,1,0
guest_10,0,0,0,0,1,0,0,0,0,0,0,0
guest_11,0,0,0,0,0,0,0,0,0,0,0,0
guest_12,0,0,0,0,0,0,0,0,0,0,0,0
guest_13,0,0,0,0,0,0,0,0,0,0,0,0
guest_14,0,1,0,1,0,0,0,0,0,0,0,0
guest_15,0,0,0,0,0,0,0,0,0,1,1,0
guest_16,0,1,0,1,0,0,1,0,0,1,0,0
guest_17,0,0,0,0,1,0,1,0,0,0,0,0
guest_18,0,0,0,0,0,0,0,0,0,0,0,0
guest_19,0,0,1,0,0,0,0,0,0,0,0,0
guest_20,0,0,0,0,0,0,0,0,0,0,1,0
guest_21,0,0,0,0,0,0,0,0,0,0,0,1
guest_22,0,0,0,0,1,0,0,0,0,1,0,0
guest_23,0,0,0,0,1,0,0,1,0,0,0,0
guest_24,0,0,0,0,1,0,0,0,0,0,1,0
guest_25,0,0,0,0,0,0,0,0,0,0,0,1
guest_26,1,0,0,0,0,0,0,0,0,0,0,0
guest_27,0,1,0,0,1,0,1,0,0,0,0,0
guest_28,0,0,0,0,0,1,0,0,0,0,0,0
guest_29,0,0,0,1,0,0,0,0,0,0,0,0
guest_30,0,0,0,0,0,0,0,0,0,0,1,0
guest_31,0,0,0,0,0,0,0,0,0,0,0,1
guest_32,0,0,0,0,1,0,0,0,0,0,0,0
guest_33,1,1,1,0,0,0,0,0,1,0,1,0
guest_34,0,0,0,0,0,0,0,0,0,1,0,0
guest_35,1,0,0,0,1,0,1,0,0,0,0,0
guest_36,0,0,0,1,0,1,0,0,1,0,0,1
guest_37,0,0,0,0,0,0,0,0,0,0,0,0
guest_38,0,0,0,0,0,0,0,0,0,0,0,0
guest_39,0,0,0,0,0,1,1,0,0,0,0,0
guest_40,0,0,0,0,0,0,0,0,0,0,0,0
guest_41,0,0,0,0,0,0,0,0,0,0,0,0
guest_42,0,0,0,0,0,0,0,0,0,0,0,1
guest_43,0,0,0,0,0,0,1,1,0,0,0,0
guest_44,0,0,0,0,0,0,0,0,0,0,0,0
guest_45,0,0,0,0,1,0,0,1,0,0,0,0
guest_46,0,0,0,0,0,0,0,0,0,0,0,0
guest_47,0,0,0,0,0,0,0,0,0,0,1,0
guest_48,0,0,0,0,0,1,0,0,0,0,1,0
guest_49,0,0,0,0,0,0,0,0,0,0,0,0
guest_50,0,0,0,0,0,0,1,0,0,0,0,0
guest_51,0,1,1,0,0,0,0,0,0,1,1,0
guest_52,0,0,0,0,1,0,0,0,0,0,0,0
guest_53,0,0,0,0,1,0,0,0,0,0,1,0
guest_54,1,0,0,0,0,0,0,0,0,0,0,0
guest_55,0,0,0,0,0,0,0,0,0,0,0,0
guest_56,0,1,1,0,0,0,0,0,0,0,0,0
guest_57,0,0,0,0,0,1,0,0,0,0,0,0
guest_58,0,0,0,0,0,0,0,0,0,0,0,0
guest_59,0,0,1,0,0,0,0,0,1,0,0,0
guest_60,1,1,0,0,0,0,0,0,0,0,0,0
guest_61,0,0,0,0,0,0,0,0,0,0,0,0
guest_62,0,0,0,1,0,0,0,0,1,0,0,0
guest_63,0,0,0,0,0,0,0,0,0,0,0,0
guest_64,0,0,1,0,0,0,0,0,1,0,0,0
guest_65,1,0,0,0,0,0,0,0,0,0,0,0
guest_66,0,0,0,0,0,0,1,0,0,0,0,0
guest_67,0,0,0,0,0,0,0,0,0,1,0,0
guest_68,0,0,1,0,0,0,0,0,0,0,0,0
guest_69,0,0,0,0,1,0,0,0,1,1,0,0
guest_70,0,0,0,0,1,0,1,0,0,0,1,0
guest_71,0,0,0,0,0,0,0,1,0,1,0,0
guest_72,0,0,0,0,0,0,0,0,0,0,0,0
guest_73,0,0,0,0,0,1,0,0,0,0,0,0
guest_74,0,0,0,0,0,0,0,0,1,0,0,0
guest_75,0,1,0,0,0,0,0,1,1,0,0,0
guest_76,1,0,0,0,0,0,0,0,0,0,0,0
guest_77,0,0,0,0,0,0,0,1,0,0,0,1
guest_78,0,0,0,0,0,0,0,0,0,0,0,0
guest_79,0,0,0,0,0,0,0,0,0,0,0,0
guest_80,0,0,0,0,1,0,0,0,0,0,1,1
guest_81,0,0,0,0,0,0,1,0,0,0,0,1
guest_82,0,0,0,0,0,0,0,0,0,0,0,0
guest_83,0,0,0,0,0,0,1,0,0,0,0,0
guest_84,0,1,0,0,0,0,0,0,0,1,0,0
guest_85,0,0,0,1,0,0,0,0,0,0,0,0
guest_86,0,0,0,0,0,0,0,0,1,0,0,0
guest_87,0,0,0,0,0,0,0,0,0,0,0,0
guest_88,0,0,0,1,0,0,0,0,0,0,1,0
guest_89,0,0,0,0,0,0,0,0,0,0,0,1
guest_90,0,0,0,0,0,0,0,1,0,0,0,0
guest_91,0,0,0,0,0,0,0,0,0,0,0,0
guest_92,0,0,1,0,0,0,0,0,0,0,0,0
guest_93,1,0,0,0,0,0,0,0,0,0,0,0
guest_94,0,0,0,0,0,0,0,1,1,1,0,1
guest_95,0,0,1,0,0,0,1,0,0,0,1,0
guest_96,0,0,0,0,1,0,0,0,0,0,0,0
guest_97,0,0,0,0,0,0,0,0,0,0,1,0
guest_98,1,0,0,0,0,0,0,0,0,0,0,0
guest_99,0,0,0,0,0,0,0,0,0,0,1,0
guest_100,0,0,0,0,1,0,0,0,0,0,0,0
guest_101,0,0,0,0,0,0,0,0,0,0,0,0
guest_102,0,0,0,0,1,0,0,0,0,0,0,0
guest_103,0,0,0,0,0,0,0,0,0,0,1,0
guest_104,0,1,0,0,0,0,0,0,0,1,0,0
guest_105,1,0,0,0,0,0,1,0,0,0,0,0
guest_106,0,0,0,0,0,0,0,0,1,0,0,1
guest_107,0,0,0,0,0,0,0,0,0,0,0,0
guest_108,0,0,0,0,0,0,1,0,0,0,0,0
guest_109,0,0,0,0,0,0,0,0,0,0,0,0
guest_110,0,0,0,0,1,0,0,0,0,0,1,0
guest_111,0,0,0,1,0,0,1,0,0,0,1,0
guest_112,0,1,0,0,1,0,0,0,0,0,1,0
guest_113,0,0,0,0,0,0,0,0,0,0,0,0
guest_114,0,0,0,0,1,0,1,0,0,0,0,0
guest_115,1,0,1,0,0,0,1,0,0,0,0,0
guest_116,1,0,0,0,0,0,0,0,0,0,0,1
