,guest_0,guest_1,guest_2,guest_3,guest_4,guest_5,guest_6,guest_7,guest_8,guest_9,guest_10,guest_11,guest_12,guest_13
host_0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
host_1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
host_2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
host_3,0,0,1,0,1,0,0,1,0,0,0,0,0,0
host_4,1,1,1,0,0,1,1,0,0,0,1,0,0,1
host_5,0,0,0,0,0,0,0,0,0,0,1,1,0,1
host_6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
host_7,1,1,1,0,0,0,0,0,0,0,1,0,0,1
host_8,0,0,0,0,1,0,1,1,1,0,0,1,1,0
host_9,0,0,1,0,1,0,0,0,0,0,0,0,0,0
host_10,0,0,0,0,0,1,1,0,0,0,1,0,0,0
host_11,0,1,0,0,1,1,0,1,0,0,0,0,0,0
host_12,0,0,1,0,0,0,1,0,1,0,0,0,0,1
host_13,1,0,0,0,0,0,0,1,1,0,0,1,0,0
host_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
host_16,0,1,0,1,1,0,0,1,0,0,0,0,0,0
host_17,0,0,1,1,1,0,0,0,0,1,0,1,0,0
host_18,0,0,0,0,0,0,0,0,1,0,1,0,0,0
host_19,0,0,1,0,0,0,0,0,0,0,0,1,0,0
host_20,1,0,0,1,0,1,0,0,0,0,0,1,0,0
host_21,0,1,1,1,0,0,1,0,0,0,1,0,0,0
host_22,0,0,0,1,0,1,1,0,0,0,1,0,1,0
host_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_24,0,1,0,0,0,0,0,0,1,0,0,0,0,0
host_25,0,0,1,0,1,0,1,0,0,0,0,0,0,0
host_26,0,0,0,0,1,0,1,0,0,0,0,0,0,0
host_27,0,0,1,0,0,0,0,0,0,1,0,0,1,0
host_28,0,0,0,0,0,0,0,0,0,0,1,0,0,0
host_29,0,0,0,1,1,0,0,0,0,0,0,0,0,0
host_30,0,0,0,0,0,0,0,1,0,0,0,0,0,0
host_31,0,0,0,0,0,0,0,0,0,0,1,0,0,0
host_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_33,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_34,1,1,0,0,0,0,0,0,0,0,0,1,0,1
host_35,0,0,0,0,0,0,0,0,0,0,0,1,0,1
host_36,0,0,0,0,1,0,0,0,1,0,0,0,0,0
host_37,1,0,0,0,0,0,1,0,0,0,0,0,0,1
host_38,1,0,0,0,0,1,0,1,0,0,0,0,0,0
host_39,0,0,0,1,1,0,0,0,1,0,0,1,1,0
host_40,0,0,0,0,0,0,0,0,1,0,0,0,0,1
host_41,1,1,0,0,0,0,0,1,1,0,1,0,0,0
host_42,0,0,0,0,1,1,0,0,0,0,1,0,0,0
host_43,0,0,0,0,1,0,0,0,0,1,0,1,0,0
host_44,0,1,1,0,0,0,0,0,0,0,0,0,1,0
host_45,1,1,0,1,1,1,1,0,1,1,1,0,0,1
host_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_47,0,0,0,0,0,0,0,1,1,0,1,0,0,0
host_48,0,0,0,0,0,0,1,0,0,0,0,0,0,0
host_49,0,1,0,0,1,0,1,0,1,1,0,0,0,1
host_50,1,0,0,0,0,0,0,0,0,0,0,1,1,0
host_51,0,0,0,0,0,0,0,1,0,1,0,0,0,0
host_52,1,0,0,0,0,1,0,0,0,0,0,0,0,0
host_53,0,0,0,0,1,1,0,0,0,0,0,0,1,0
host_54,0,0,0,0,0,0,0,0,0,0,0,0,0,1
host_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_56,0,0,0,0,0,0,0,0,0,1,0,0,1,0
host_57,0,0,0,0,1,1,0,1,1,1,0,0,0,1
host_58,0,0,1,1,0,0,0,0,1,0,0,0,0,0
host_59,0,0,0,0,0,0,0,0,0,0,1,1,0,0
host_60,0,1,0,1,0,0,0,0,0,0,1,0,0,0
host_61,0,0,0,0,1,0,0,0,0,0,1,0,0,0
host_62,1,0,0,0,1,0,1,0,0,0,1,0,0,0
host_63,0,0,0,1,1,0,1,0,0,0,0,0,1,0
host_64,0,0,0,1,0,0,0,0,0,0,0,0,0,0
host_65,0,0,1,0,1,0,0,1,1,0,1,0,1,0
host_66,1,1,0,1,0,0,0,1,0,0,0,1,1,1
host_67,0,0,0,0,0,0,0,1,0,1,1,0,0,0
host_68,0,0,0,1,0,1,1,0,0,0,0,0,1,0
host_69,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_70,0,0,0,0,0,1,0,1,1,0,0,0,0,0
host_71,0,1,0,0,1,0,0,0,0,0,0,0,0,0
host_72,0,1,0,0,0,0,0,0,1,0,0,0,0,1
host_73,0,0,0,0,0,0,0,1,0,1,0,0,0,0
host_74,1,1,0,0,0,1,0,0,0,0,0,0,0,0
host_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_76,0,0,1,0,0,0,1,0,1,1,1,0,1,0
host_77,0,1,0,0,0,0,0,0,0,0,0,0,0,0
host_78,0,0,1,0,1,1,0,1,0,1,1,0,0,0
host_79,1,0,0,0,1,0,0,0,0,0,0,0,0,0
host_80,0,0,0,1,0,0,0,0,0,1,1,0,0,0
host_81,0,0,1,0,0,0,0,0,0,1,0,0,0,0
host_82,0,1,0,0,0,0,0,1,1,0,0,0,0,0
host_83,0,0,0,1,1,0,0,0,0,0,1,0,0,1
host_84,0,0,1,0,0,0,0,0,0,1,0,0,1,0
host_85,1,0,0,0,0,0,0,1,0,0,0,0,0,0
host_86,0,0,1,1,0,1,1,0,1,0,1,0,1,0
host_87,0,0,0,0,0,0,0,0,0,0,0,0,1,0
host_88,1,0,0,0,0,0,0,0,0,1,0,0,1,1
host_89,0,1,0,0,0,0,0,1,0,0,0,0,0,1
host_90,0,0,0,0,0,0,0,0,0,1,1,0,0,1
host_91,0,0,0,1,0,1,0,0,1,0,0,0,0,0
host_92,1,0,0,1,0,0,0,0,0,0,0,1,1,0
host_93,0,0,0,0,0,0,0,0,0,0,0,0,0,1
host_94,0,0,0,0,1,1,0,1,0,1,1,0,0,0
host_95,0,1,0,0,0,0,0,0,0,0,0,0,0,0
host_96,0,1,1,0,1,1,0,0,0,0,0,0,0,0
host_97,0,0,0,0,1,0,0,1,0,0,0,0,1,0
host_98,0,0,1,0,0,0,0,0,0,0,0,0,1,0
host_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_100,0,0,1,0,1,0,1,0,0,0,0,0,0,0
host_101,0,0,0,0,0,0,0,0,1,1,0,0,0,1
host_102,1,0,1,1,0,0,0,0,0,0,0,0,0,0
host_103,0,0,0,0,0,1,1,0,0,1,0,1,0,0
host_104,0,0,0,0,0,0,0,0,1,1,0,1,0,0
host_105,1,0,0,0,0,1,0,0,1,0,0,0,0,0
host_106,1,0,0,1,0,0,0,0,0,0,0,1,0,0
host_107,0,0,1,0,0,1,1,0,0,1,1,0,1,0
