,guest_0,guest_1,guest_2,guest_3,guest_4,guest_5,guest_6,guest_7,guest_8,guest_9,guest_10,guest_11,guest_12,guest_13,guest_14,guest_15
host_0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
host_1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
host_2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
host_3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
host_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
host_7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
host_8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
host_9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
host_10,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1
host_11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
host_12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
host_13,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
host_14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
host_15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
host_16,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
host_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
host_18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
host_19,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
host_20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
host_21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
host_22,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
host_23,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
host_24,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
host_25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
host_26,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
host_27,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
host_28,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
host_29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
host_30,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
host_31,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
host_32,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
host_33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
host_34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_36,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
host_37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
host_38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
host_39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
host_40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
host_42,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
host_43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
host_44,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
host_45,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
host_46,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
host_47,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
host_48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
host_49,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
host_50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
host_51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
host_52,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
host_53,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
host_54,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
host_55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
host_56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
host_57,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
host_58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
host_59,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
host_60,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
host_61,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
host_62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
host_63,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
host_64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
host_65,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
host_66,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
host_67,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
host_68,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
host_69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
host_70,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
host_71,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
host_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
host_73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
host_74,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
