,guest_0,guest_1,guest_2,guest_3,guest_4,guest_5,guest_6,guest_7,guest_8,guest_9,guest_10,guest_11,guest_12,guest_13,guest_14,guest_15,guest_16,guest_17
host_0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
host_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
host_2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
host_3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
host_4,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
host_5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
host_6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
host_7,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
host_8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
host_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
host_11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
host_12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
host_13,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
host_14,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
host_15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
host_16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
host_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
host_18,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
host_19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
host_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
host_21,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
host_22,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0
host_23,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
host_24,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
host_25,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
host_26,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
host_27,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
host_28,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
host_29,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
host_30,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
host_31,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
host_32,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
host_33,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
host_34,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1
host_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
host_36,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
host_37,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
host_38,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0
host_39,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
host_40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
