,guest_0,guest_1,guest_2,guest_3,guest_4,guest_5,guest_6,guest_7,guest_8,guest_9,guest_10,guest_11,guest_12
host_0,1,0,0,0,0,0,0,0,0,0,0,0,0
host_1,0,1,0,0,0,0,0,0,0,0,0,0,0
host_2,0,0,1,0,0,0,0,0,0,0,0,0,0
host_3,0,0,0,1,0,0,0,0,0,0,0,0,0
host_4,0,0,0,0,1,0,0,0,0,0,0,0,0
host_5,0,0,0,0,0,1,0,0,0,0,0,0,0
host_6,0,0,0,0,0,0,1,0,0,0,0,0,0
host_7,0,0,0,0,0,0,0,1,0,0,0,0,0
host_8,0,0,0,0,0,0,0,0,1,0,0,0,0
host_9,0,0,0,0,0,0,0,0,0,1,0,0,0
host_10,0,0,0,0,0,0,0,0,0,0,1,0,0
host_11,0,0,0,0,0,0,0,0,0,0,0,1,0
host_12,0,0,0,0,0,0,0,0,0,0,0,0,1
