,host_0,host_1,host_2,host_3,host_4,host_5,host_6,host_7,host_8,host_9,host_10,host_11,host_12
guest_0,1,0,0,0,0,0,0,0,0,0,0,0,0
guest_1,0,1,0,0,0,0,0,0,0,0,0,0,0
guest_2,0,0,1,0,0,0,0,0,0,0,0,0,0
guest_3,0,0,0,1,0,0,0,0,0,0,0,0,0
guest_4,0,0,0,0,1,0,0,0,0,0,0,0,0
guest_5,0,0,0,0,0,1,0,0,0,0,0,0,0
guest_6,0,0,0,0,0,0,1,0,0,0,0,0,0
guest_7,0,0,0,0,0,0,0,1,0,0,0,0,0
guest_8,0,0,0,0,0,0,0,0,1,0,0,0,0
guest_9,0,0,0,0,0,0,0,0,0,1,0,0,0
guest_10,0,0,0,0,0,0,0,0,0,0,1,0,0
guest_11,0,0,0,0,0,0,0,0,0,0,0,1,0
guest_12,0,0,0,0,0,0,0,0,0,0,0,0,1
