,study,group,n_hosts,n_guests,n_links,additions,deletions,swaps,skew,kurtosis,eigengap,treedist
0,null0,null,109,128,211,0,0,0,0.790187185726,-0.646241964961,0.150400845801,0.0199247884946
1,null0,null,109,128,211,0,0,6,0.788462714268,-0.647008112543,0.150400713048,0.0199247884946
2,null0,null,109,128,211,0,0,12,0.792665381327,-0.638879769782,0.150406868645,0.0199247884946
3,null0,null,109,128,211,0,0,18,0.789662727764,-0.644626598273,0.147225060333,0.0199247884946
4,null0,null,109,128,211,0,0,25,0.795101467764,-0.631362505708,0.150290674354,0.0199247884946
5,null0,null,109,128,211,0,0,31,0.785749140098,-0.661042084235,0.151037573398,0.0199247884946
6,null0,null,109,128,211,0,0,37,0.791813516952,-0.636356918327,0.15627862224,0.0199247884946
7,null0,null,109,128,211,0,0,44,0.805785138737,-0.608494044071,0.151588957795,0.0199247884946
8,null0,null,109,128,211,0,0,50,0.794919267183,-0.646398013699,0.151255768011,0.0199247884946
9,null0,null,109,128,211,0,0,56,0.775851049259,-0.678713822228,0.148453570903,0.0199247884946
10,null0,null,109,128,211,0,0,63,0.791951000083,-0.654676347681,0.155332892283,0.0199247884946
11,null0,null,109,128,211,6,0,0,0.794285167135,-0.641415167862,0.150433615564,0.0199247884946
12,null0,null,109,128,211,6,0,6,0.795636473089,-0.644970625119,0.150401791368,0.0199247884946
13,null0,null,109,128,211,6,0,12,0.807145252936,-0.613461210164,0.145251182146,0.0199247884946
14,null0,null,109,128,211,6,0,18,0.799479792149,-0.625407832186,0.254072188936,0.0199247884946
15,null0,null,109,128,211,6,0,25,0.792564313328,-0.637927167616,0.152195973587,0.0199247884946
16,null0,null,109,128,211,6,0,31,0.790884627309,-0.645179602111,0.149077782943,0.0199247884946
17,null0,null,109,128,211,6,0,37,0.798050240902,-0.627780978228,0.143396912661,0.0199247884946
18,null0,null,109,128,211,6,0,44,0.807228029081,-0.612173054387,0.145768673972,0.0199247884946
19,null0,null,109,128,211,6,0,50,0.797293711804,-0.628533182891,0.253864411358,0.0199247884946
20,null0,null,109,128,211,6,0,56,0.791983980796,-0.646930266397,0.154199791529,0.0199247884946
21,null0,null,109,128,211,6,0,63,0.792501501585,-0.644017947073,0.152766988315,0.0199247884946
22,null0,null,109,128,211,12,0,0,0.799802703876,-0.640592904627,0.255420812871,0.0199247884946
23,null0,null,109,128,211,12,0,6,0.797412362909,-0.644484086345,0.151290701339,0.0199247884946
